"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"1",2,"",1,"林信華","男",6736,"13.66%","無","宜蘭縣 宜蘭市"
"2",3,"◎",2,"林姿妙","女",23891,"48.45%","中國國民黨","宜蘭縣 宜蘭市"
"3",4,"",3,"陳歐珀","男",18033,"36.57%","民主進步黨","宜蘭縣 宜蘭市"
"4",5,"",4,"林錦坤","男",379,"0.77%","無","宜蘭縣 宜蘭市"
"5",6,"",5,"陳秋境","男",270,"0.55%","無","宜蘭縣 宜蘭市"
"6",2,"",1,"林信華","男",3872,"11.06%","無","宜蘭縣 羅東鎮"
"7",3,"◎",2,"林姿妙","女",18457,"52.71%","中國國民黨","宜蘭縣 羅東鎮"
"8",4,"",3,"陳歐珀","男",12395,"35.40%","民主進步黨","宜蘭縣 羅東鎮"
"9",5,"",4,"林錦坤","男",163,"0.47%","無","宜蘭縣 羅東鎮"
"10",6,"",5,"陳秋境","男",128,"0.37%","無","宜蘭縣 羅東鎮"
"11",2,"",1,"林信華","男",2266,"9.88%","無","宜蘭縣 蘇澳鎮"
"12",3,"◎",2,"林姿妙","女",11341,"49.44%","中國國民黨","宜蘭縣 蘇澳鎮"
"13",4,"",3,"陳歐珀","男",8995,"39.21%","民主進步黨","宜蘭縣 蘇澳鎮"
"14",5,"",4,"林錦坤","男",185,"0.81%","無","宜蘭縣 蘇澳鎮"
"15",6,"",5,"陳秋境","男",154,"0.67%","無","宜蘭縣 蘇澳鎮"
"16",2,"",1,"林信華","男",1415,"8.26%","無","宜蘭縣 頭城鎮"
"17",3,"◎",2,"林姿妙","女",9405,"54.90%","中國國民黨","宜蘭縣 頭城鎮"
"18",4,"",3,"陳歐珀","男",5973,"34.87%","民主進步黨","宜蘭縣 頭城鎮"
"19",5,"",4,"林錦坤","男",167,"0.97%","無","宜蘭縣 頭城鎮"
"20",6,"",5,"陳秋境","男",171,"1.00%","無","宜蘭縣 頭城鎮"
"21",2,"",1,"林信華","男",2314,"10.95%","無","宜蘭縣 礁溪鄉"
"22",3,"◎",2,"林姿妙","女",9698,"45.91%","中國國民黨","宜蘭縣 礁溪鄉"
"23",4,"",3,"陳歐珀","男",8797,"41.65%","民主進步黨","宜蘭縣 礁溪鄉"
"24",5,"",4,"林錦坤","男",194,"0.92%","無","宜蘭縣 礁溪鄉"
"25",6,"",5,"陳秋境","男",120,"0.57%","無","宜蘭縣 礁溪鄉"
"26",2,"",1,"林信華","男",1581,"10.34%","無","宜蘭縣 壯圍鄉"
"27",3,"◎",2,"林姿妙","女",6978,"45.66%","中國國民黨","宜蘭縣 壯圍鄉"
"28",4,"",3,"陳歐珀","男",6509,"42.59%","民主進步黨","宜蘭縣 壯圍鄉"
"29",5,"",4,"林錦坤","男",125,"0.82%","無","宜蘭縣 壯圍鄉"
"30",6,"",5,"陳秋境","男",90,"0.59%","無","宜蘭縣 壯圍鄉"
"31",2,"",1,"林信華","男",1974,"10.77%","無","宜蘭縣 員山鄉"
"32",3,"◎",2,"林姿妙","女",7844,"42.78%","中國國民黨","宜蘭縣 員山鄉"
"33",4,"",3,"陳歐珀","男",8154,"44.47%","民主進步黨","宜蘭縣 員山鄉"
"34",5,"",4,"林錦坤","男",264,"1.44%","無","宜蘭縣 員山鄉"
"35",6,"",5,"陳秋境","男",101,"0.55%","無","宜蘭縣 員山鄉"
"36",2,"",1,"林信華","男",3138,"10.94%","無","宜蘭縣 冬山鄉"
"37",3,"◎",2,"林姿妙","女",13141,"45.83%","中國國民黨","宜蘭縣 冬山鄉"
"38",4,"",3,"陳歐珀","男",12023,"41.93%","民主進步黨","宜蘭縣 冬山鄉"
"39",5,"",4,"林錦坤","男",206,"0.72%","無","宜蘭縣 冬山鄉"
"40",6,"",5,"陳秋境","男",168,"0.59%","無","宜蘭縣 冬山鄉"
"41",2,"",1,"林信華","男",2605,"11.84%","無","宜蘭縣 五結鄉"
"42",3,"◎",2,"林姿妙","女",10354,"47.07%","中國國民黨","宜蘭縣 五結鄉"
"43",4,"",3,"陳歐珀","男",8782,"39.93%","民主進步黨","宜蘭縣 五結鄉"
"44",5,"",4,"林錦坤","男",142,"0.65%","無","宜蘭縣 五結鄉"
"45",6,"",5,"陳秋境","男",112,"0.51%","無","宜蘭縣 五結鄉"
"46",2,"",1,"林信華","男",1235,"9.69%","無","宜蘭縣 三星鄉"
"47",3,"◎",2,"林姿妙","女",6053,"47.48%","中國國民黨","宜蘭縣 三星鄉"
"48",4,"",3,"陳歐珀","男",5314,"41.68%","民主進步黨","宜蘭縣 三星鄉"
"49",5,"",4,"林錦坤","男",74,"0.58%","無","宜蘭縣 三星鄉"
"50",6,"",5,"陳秋境","男",72,"0.56%","無","宜蘭縣 三星鄉"
"51",2,"",1,"林信華","男",149,"3.81%","無","宜蘭縣 大同鄉"
"52",3,"◎",2,"林姿妙","女",3360,"86.02%","中國國民黨","宜蘭縣 大同鄉"
"53",4,"",3,"陳歐珀","男",374,"9.58%","民主進步黨","宜蘭縣 大同鄉"
"54",5,"",4,"林錦坤","男",9,"0.23%","無","宜蘭縣 大同鄉"
"55",6,"",5,"陳秋境","男",14,"0.36%","無","宜蘭縣 大同鄉"
"56",2,"",1,"林信華","男",114,"3.12%","無","宜蘭縣 南澳鄉"
"57",3,"◎",2,"林姿妙","女",3245,"88.73%","中國國民黨","宜蘭縣 南澳鄉"
"58",4,"",3,"陳歐珀","男",260,"7.11%","民主進步黨","宜蘭縣 南澳鄉"
"59",5,"",4,"林錦坤","男",14,"0.38%","無","宜蘭縣 南澳鄉"
"60",6,"",5,"陳秋境","男",24,"0.66%","無","宜蘭縣 南澳鄉"
