"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"1",2,"",1,"李鎔任","男",2182,"2.14%","無","屏東縣 屏東市"
"2",3,"",2,"蘇清泉","男",46320,"45.47%","中國國民黨","屏東縣 屏東市"
"3",4,"◎",3,"潘孟安","男",53370,"52.39%","民主進步黨","屏東縣 屏東市"
"4",2,"",1,"李鎔任","男",623,"2.16%","無","屏東縣 潮州鎮"
"5",3,"",2,"蘇清泉","男",12571,"43.62%","中國國民黨","屏東縣 潮州鎮"
"6",4,"◎",3,"潘孟安","男",15628,"54.22%","民主進步黨","屏東縣 潮州鎮"
"7",2,"",1,"李鎔任","男",575,"2.38%","無","屏東縣 東港鎮"
"8",3,"",2,"蘇清泉","男",11387,"47.04%","中國國民黨","屏東縣 東港鎮"
"9",4,"◎",3,"潘孟安","男",12243,"50.58%","民主進步黨","屏東縣 東港鎮"
"10",2,"",1,"李鎔任","男",232,"1.40%","無","屏東縣 恆春鎮"
"11",3,"",2,"蘇清泉","男",6729,"40.55%","中國國民黨","屏東縣 恆春鎮"
"12",4,"◎",3,"潘孟安","男",9632,"58.05%","民主進步黨","屏東縣 恆春鎮"
"13",2,"",1,"李鎔任","男",825,"2.84%","無","屏東縣 萬丹鄉"
"14",3,"",2,"蘇清泉","男",11272,"38.87%","中國國民黨","屏東縣 萬丹鄉"
"15",4,"◎",3,"潘孟安","男",16905,"58.29%","民主進步黨","屏東縣 萬丹鄉"
"16",2,"",1,"李鎔任","男",381,"2.20%","無","屏東縣 長治鄉"
"17",3,"",2,"蘇清泉","男",6939,"40.05%","中國國民黨","屏東縣 長治鄉"
"18",4,"◎",3,"潘孟安","男",10006,"57.75%","民主進步黨","屏東縣 長治鄉"
"19",2,"",1,"李鎔任","男",160,"2.25%","無","屏東縣 麟洛鄉"
"20",3,"",2,"蘇清泉","男",2526,"35.45%","中國國民黨","屏東縣 麟洛鄉"
"21",4,"◎",3,"潘孟安","男",4440,"62.31%","民主進步黨","屏東縣 麟洛鄉"
"22",2,"",1,"李鎔任","男",294,"2.22%","無","屏東縣 九如鄉"
"23",3,"",2,"蘇清泉","男",3977,"30.03%","中國國民黨","屏東縣 九如鄉"
"24",4,"◎",3,"潘孟安","男",8972,"67.75%","民主進步黨","屏東縣 九如鄉"
"25",2,"",1,"李鎔任","男",393,"2.54%","無","屏東縣 里港鄉"
"26",3,"",2,"蘇清泉","男",5371,"34.75%","中國國民黨","屏東縣 里港鄉"
"27",4,"◎",3,"潘孟安","男",9692,"62.71%","民主進步黨","屏東縣 里港鄉"
"28",2,"",1,"李鎔任","男",387,"2.43%","無","屏東縣 鹽埔鄉"
"29",3,"",2,"蘇清泉","男",6561,"41.20%","中國國民黨","屏東縣 鹽埔鄉"
"30",4,"◎",3,"潘孟安","男",8977,"56.37%","民主進步黨","屏東縣 鹽埔鄉"
"31",2,"",1,"李鎔任","男",347,"2.22%","無","屏東縣 高樹鄉"
"32",3,"",2,"蘇清泉","男",5402,"34.53%","中國國民黨","屏東縣 高樹鄉"
