"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
2,"",1,"魏明谷","男",47148,"38.02%","民主進步黨","彰化縣 彰化市"
3,"◎",2,"王惠美","女",65874,"53.12%","中國國民黨","彰化縣 彰化市"
4,"",3,"白雅燦","男",1375,"1.11%","無","彰化縣 彰化市"
5,"",4,"黃文玲","女",8206,"6.62%","無","彰化縣 彰化市"
6,"",5,"洪敏雄","男",1407,"1.13%","無","彰化縣 彰化市"
2,"",1,"魏明谷","男",18379,"38.77%","民主進步黨","彰化縣 鹿港鎮"
3,"◎",2,"王惠美","女",27397,"57.80%","中國國民黨","彰化縣 鹿港鎮"
4,"",3,"白雅燦","男",266,"0.56%","無","彰化縣 鹿港鎮"
5,"",4,"黃文玲","女",1147,"2.42%","無","彰化縣 鹿港鎮"
6,"",5,"洪敏雄","男",212,"0.45%","無","彰化縣 鹿港鎮"
2,"",1,"魏明谷","男",17596,"35.82%","民主進步黨","彰化縣 和美鎮"
3,"◎",2,"王惠美","女",29004,"59.04%","中國國民黨","彰化縣 和美鎮"
4,"",3,"白雅燦","男",421,"0.86%","無","彰化縣 和美鎮"
5,"",4,"黃文玲","女",1745,"3.55%","無","彰化縣 和美鎮"
6,"",5,"洪敏雄","男",363,"0.74%","無","彰化縣 和美鎮"
2,"",1,"魏明谷","男",2818,"28.46%","民主進步黨","彰化縣 線西鄉"
3,"◎",2,"王惠美","女",6615,"66.82%","中國國民黨","彰化縣 線西鄉"
4,"",3,"白雅燦","男",90,"0.91%","無","彰化縣 線西鄉"
5,"",4,"黃文玲","女",314,"3.17%","無","彰化縣 線西鄉"
6,"",5,"洪敏雄","男",63,"0.64%","無","彰化縣 線西鄉"
2,"",1,"魏明谷","男",6883,"33.55%","民主進步黨","彰化縣 伸港鄉"
3,"◎",2,"王惠美","女",12781,"62.30%","中國國民黨","彰化縣 伸港鄉"
4,"",3,"白雅燦","男",135,"0.66%","無","彰化縣 伸港鄉"
5,"",4,"黃文玲","女",615,"3.00%","無","彰化縣 伸港鄉"
6,"",5,"洪敏雄","男",101,"0.49%","無","彰化縣 伸港鄉"
2,"",1,"魏明谷","男",9992,"38.08%","民主進步黨","彰化縣 福興鄉"
3,"◎",2,"王惠美","女",15125,"57.65%","中國國民黨","彰化縣 福興鄉"
4,"",3,"白雅燦","男",220,"0.84%","無","彰化縣 福興鄉"
5,"",4,"黃文玲","女",752,"2.87%","無","彰化縣 福興鄉"
6,"",5,"洪敏雄","男",148,"0.56%","無","彰化縣 福興鄉"
2,"",1,"魏明谷","男",7953,"35.67%","民主進步黨","彰化縣 秀水鄉"
3,"◎",2,"王惠美","女",13132,"58.90%","中國國民黨","彰化縣 秀水鄉"
4,"",3,"白雅燦","男",173,"0.78%","無","彰化縣 秀水鄉"
5,"",4,"黃文玲","女",836,"3.75%","無","彰化縣 秀水鄉"
6,"",5,"洪敏雄","男",203,"0.91%","無","彰化縣 秀水鄉"
2,"",1,"魏明谷","男",9629,"36.90%","民主進步黨","彰化縣 花壇鄉"
3,"◎",2,"王惠美","女",14443,"55.34%","中國國民黨","彰化縣 花壇鄉"
4,"",3,"白雅燦","男",387,"1.48%","無","彰化縣 花壇鄉"
5,"",4,"黃文玲","女",1366,"5.23%","無","彰化縣 花壇鄉"
6,"",5,"洪敏雄","男",273,"1.05%","無","彰化縣 花壇鄉"
2,"",1,"魏明谷","男",6415,"46.08%","民主進步黨","彰化縣 芬園鄉"
3,"◎",2,"王惠美","女",6594,"47.37%","中國國民黨","彰化縣 芬園鄉"
4,"",3,"白雅燦","男",119,"0.85%","無","彰化縣 芬園鄉"
5,"",4,"黃文玲","女",669,"4.81%","無","彰化縣 芬園鄉"
6,"",5,"洪敏雄","男",124,"0.89%","無","彰化縣 芬園鄉"
2,"",1,"魏明谷","男",26724,"41.78%","民主進步黨","彰化縣 員林市"
3,"◎",2,"王惠美","女",31949,"49.95%","中國國民黨","彰化縣 員林市"
4,"",3,"白雅燦","男",715,"1.12%","無","彰化縣 員林市"
5,"",4,"黃文玲","女",3716,"5.81%","無","彰化縣 員林市"
6,"",5,"洪敏雄","男",852,"1.33%","無","彰化縣 員林市"
2,"",1,"魏明谷","男",11899,"38.86%","民主進步黨","彰化縣 溪湖鎮"
3,"◎",2,"王惠美","女",16431,"53.67%","中國國民黨","彰化縣 溪湖鎮"
4,"",3,"白雅燦","男",284,"0.93%","無","彰化縣 溪湖鎮"
5,"",4,"黃文玲","女",1479,"4.83%","無","彰化縣 溪湖鎮"
6,"",5,"洪敏雄","男",524,"1.71%","無","彰化縣 溪湖鎮"
2,"",1,"魏明谷","男",10161,"43.96%","民主進步黨","彰化縣 田中鎮"
3,"◎",2,"王惠美","女",11340,"49.06%","中國國民黨","彰化縣 田中鎮"
4,"",3,"白雅燦","男",250,"1.08%","無","彰化縣 田中鎮"
5,"",4,"黃文玲","女",1136,"4.91%","無","彰化縣 田中鎮"
6,"",5,"洪敏雄","男",228,"0.99%","無","彰化縣 田中鎮"
2,"",1,"魏明谷","男",8835,"41.40%","民主進步黨","彰化縣 大村鄉"
3,"◎",2,"王惠美","女",10826,"50.73%","中國國民黨","彰化縣 大村鄉"
4,"",3,"白雅燦","男",235,"1.10%","無","彰化縣 大村鄉"
5,"",4,"黃文玲","女",1218,"5.71%","無","彰化縣 大村鄉"
6,"",5,"洪敏雄","男",227,"1.06%","無","彰化縣 大村鄉"
2,"",1,"魏明谷","男",6620,"32.43%","民主進步黨","彰化縣 埔鹽鄉"
3,"◎",2,"王惠美","女",12415,"60.82%","中國國民黨","彰化縣 埔鹽鄉"
4,"",3,"白雅燦","男",200,"0.98%","無","彰化縣 埔鹽鄉"
5,"",4,"黃文玲","女",943,"4.62%","無","彰化縣 埔鹽鄉"
6,"",5,"洪敏雄","男",236,"1.16%","無","彰化縣 埔鹽鄉"
2,"",1,"魏明谷","男",9295,"45.43%","民主進步黨","彰化縣 埔心鄉"
3,"◎",2,"王惠美","女",9694,"47.38%","中國國民黨","彰化縣 埔心鄉"
4,"",3,"白雅燦","男",195,"0.95%","無","彰化縣 埔心鄉"
5,"",4,"黃文玲","女",1044,"5.10%","無","彰化縣 埔心鄉"
6,"",5,"洪敏雄","男",232,"1.13%","無","彰化縣 埔心鄉"
2,"",1,"魏明谷","男",9751,"45.35%","民主進步黨","彰化縣 永靖鄉"
3,"◎",2,"王惠美","女",10057,"46.77%","中國國民黨","彰化縣 永靖鄉"
4,"",3,"白雅燦","男",253,"1.18%","無","彰化縣 永靖鄉"
5,"",4,"黃文玲","女",1188,"5.53%","無","彰化縣 永靖鄉"
6,"",5,"洪敏雄","男",252,"1.17%","無","彰化縣 永靖鄉"
2,"",1,"魏明谷","男",10864,"44.60%","民主進步黨","彰化縣 社頭鄉"
3,"◎",2,"王惠美","女",11703,"48.04%","中國國民黨","彰化縣 社頭鄉"
4,"",3,"白雅燦","男",502,"2.06%","無","彰化縣 社頭鄉"
5,"",4,"黃文玲","女",1094,"4.49%","無","彰化縣 社頭鄉"
6,"",5,"洪敏雄","男",196,"0.80%","無","彰化縣 社頭鄉"
2,"",1,"魏明谷","男",4775,"49.11%","民主進步黨","彰化縣 二水鄉"
3,"◎",2,"王惠美","女",4452,"45.79%","中國國民黨","彰化縣 二水鄉"
4,"",3,"白雅燦","男",78,"0.80%","無","彰化縣 二水鄉"
5,"",4,"黃文玲","女",357,"3.67%","無","彰化縣 二水鄉"
6,"",5,"洪敏雄","男",61,"0.63%","無","彰化縣 二水鄉"
2,"",1,"魏明谷","男",7863,"42.83%","民主進步黨","彰化縣 北斗鎮"
3,"◎",2,"王惠美","女",9082,"49.47%","中國國民黨","彰化縣 北斗鎮"
4,"",3,"白雅燦","男",199,"1.08%","無","彰化縣 北斗鎮"
5,"",4,"黃文玲","女",1013,"5.52%","無","彰化縣 北斗鎮"
6,"",5,"洪敏雄","男",202,"1.10%","無","彰化縣 北斗鎮"
2,"",1,"魏明谷","男",10868,"37.78%","民主進步黨","彰化縣 二林鎮"
3,"◎",2,"王惠美","女",15652,"54.42%","中國國民黨","彰化縣 二林鎮"
4,"",3,"白雅燦","男",349,"1.21%","無","彰化縣 二林鎮"
5,"",4,"黃文玲","女",1496,"5.20%","無","彰化縣 二林鎮"
6,"",5,"洪敏雄","男",399,"1.39%","無","彰化縣 二林鎮"
2,"",1,"魏明谷","男",6720,"42.16%","民主進步黨","彰化縣 田尾鄉"
3,"◎",2,"王惠美","女",7946,"49.86%","中國國民黨","彰化縣 田尾鄉"
4,"",3,"白雅燦","男",214,"1.34%","無","彰化縣 田尾鄉"
5,"",4,"黃文玲","女",892,"5.60%","無","彰化縣 田尾鄉"
6,"",5,"洪敏雄","男",166,"1.04%","無","彰化縣 田尾鄉"
2,"",1,"魏明谷","男",7095,"42.06%","民主進步黨","彰化縣 埤頭鄉"
3,"◎",2,"王惠美","女",8548,"50.67%","中國國民黨","彰化縣 埤頭鄉"
4,"",3,"白雅燦","男",191,"1.13%","無","彰化縣 埤頭鄉"
5,"",4,"黃文玲","女",852,"5.05%","無","彰化縣 埤頭鄉"
6,"",5,"洪敏雄","男",183,"1.08%","無","彰化縣 埤頭鄉"
2,"",1,"魏明谷","男",8818,"44.80%","民主進步黨","彰化縣 芳苑鄉"
3,"◎",2,"王惠美","女",9404,"47.78%","中國國民黨","彰化縣 芳苑鄉"
4,"",3,"白雅燦","男",213,"1.08%","無","彰化縣 芳苑鄉"
5,"",4,"黃文玲","女",1005,"5.11%","無","彰化縣 芳苑鄉"
6,"",5,"洪敏雄","男",241,"1.22%","無","彰化縣 芳苑鄉"
2,"",1,"魏明谷","男",4013,"43.29%","民主進步黨","彰化縣 大城鄉"
3,"◎",2,"王惠美","女",4708,"50.78%","中國國民黨","彰化縣 大城鄉"
4,"",3,"白雅燦","男",92,"0.99%","無","彰化縣 大城鄉"
5,"",4,"黃文玲","女",347,"3.74%","無","彰化縣 大城鄉"
6,"",5,"洪敏雄","男",111,"1.20%","無","彰化縣 大城鄉"
2,"",1,"魏明谷","男",4424,"47.20%","民主進步黨","彰化縣 竹塘鄉"
3,"◎",2,"王惠美","女",4333,"46.23%","中國國民黨","彰化縣 竹塘鄉"
4,"",3,"白雅燦","男",89,"0.95%","無","彰化縣 竹塘鄉"
5,"",4,"黃文玲","女",423,"4.51%","無","彰化縣 竹塘鄉"
6,"",5,"洪敏雄","男",104,"1.11%","無","彰化縣 竹塘鄉"
2,"",1,"魏明谷","男",7731,"45.03%","民主進步黨","彰化縣 溪州鄉"
3,"◎",2,"王惠美","女",8290,"48.28%","中國國民黨","彰化縣 溪州鄉"
4,"",3,"白雅燦","男",157,"0.91%","無","彰化縣 溪州鄉"
5,"",4,"黃文玲","女",837,"4.87%","無","彰化縣 溪州鄉"
6,"",5,"洪敏雄","男",155,"0.90%","無","彰化縣 溪州鄉"
