"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
2,"",1,"蘇貞昌","男",131905,"46.03%","民主進步黨","新北市 板橋區"
3,"◎",2,"侯友宜","男",154687,"53.97%","中國國民黨","新北市 板橋區"
2,"",1,"蘇貞昌","男",100823,"50.22%","民主進步黨","新北市 三重區"
3,"◎",2,"侯友宜","男",99925,"49.78%","中國國民黨","新北市 三重區"
2,"",1,"蘇貞昌","男",80552,"36.69%","民主進步黨","新北市 中和區"
3,"◎",2,"侯友宜","男",139022,"63.31%","中國國民黨","新北市 中和區"
2,"",1,"蘇貞昌","男",38286,"32.54%","民主進步黨","新北市 永和區"
3,"◎",2,"侯友宜","男",79362,"67.46%","中國國民黨","新北市 永和區"
2,"",1,"蘇貞昌","男",101046,"48.28%","民主進步黨","新北市 新莊區"
3,"◎",2,"侯友宜","男",108240,"51.72%","中國國民黨","新北市 新莊區"
2,"",1,"蘇貞昌","男",49933,"31.27%","民主進步黨","新北市 新店區"
3,"◎",2,"侯友宜","男",109759,"68.73%","中國國民黨","新北市 新店區"
2,"",1,"蘇貞昌","男",41600,"45.87%","民主進步黨","新北市 樹林區"
3,"◎",2,"侯友宜","男",49090,"54.13%","中國國民黨","新北市 樹林區"
2,"",1,"蘇貞昌","男",20360,"46.51%","民主進步黨","新北市 鶯歌區"
3,"◎",2,"侯友宜","男",23419,"53.49%","中國國民黨","新北市 鶯歌區"
2,"",1,"蘇貞昌","男",23653,"42.64%","民主進步黨","新北市 三峽區"
3,"◎",2,"侯友宜","男",31822,"57.36%","中國國民黨","新北市 三峽區"
2,"",1,"蘇貞昌","男",33763,"39.67%","民主進步黨","新北市 淡水區"
3,"◎",2,"侯友宜","男",51336,"60.33%","中國國民黨","新北市 淡水區"
2,"",1,"蘇貞昌","男",38639,"38.72%","民主進步黨","新北市 汐止區"
3,"◎",2,"侯友宜","男",61139,"61.28%","中國國民黨","新北市 汐止區"
2,"",1,"蘇貞昌","男",8038,"37.51%","民主進步黨","新北市 瑞芳區"
3,"◎",2,"侯友宜","男",13393,"62.49%","中國國民黨","新北市 瑞芳區"
2,"",1,"蘇貞昌","男",51932,"43.85%","民主進步黨","新北市 土城區"
3,"◎",2,"侯友宜","男",66487,"56.15%","中國國民黨","新北市 土城區"
2,"",1,"蘇貞昌","男",48350,"50.56%","民主進步黨","新北市 蘆洲區"
3,"◎",2,"侯友宜","男",47271,"49.44%","中國國民黨","新北市 蘆洲區"
2,"",1,"蘇貞昌","男",20372,"47.77%","民主進步黨","新北市 五股區"
3,"◎",2,"侯友宜","男",22276,"52.23%","中國國民黨","新北市 五股區"
2,"",1,"蘇貞昌","男",17627,"45.77%","民主進步黨","新北市 泰山區"
3,"◎",2,"侯友宜","男",20885,"54.23%","中國國民黨","新北市 泰山區"
2,"",1,"蘇貞昌","男",20883,"40.92%","民主進步黨","新北市 林口區"
3,"◎",2,"侯友宜","男",30150,"59.08%","中國國民黨","新北市 林口區"
2,"",1,"蘇貞昌","男",5153,"40.03%","民主進步黨","新北市 深坑區"
3,"◎",2,"侯友宜","男",7720,"59.97%","中國國民黨","新北市 深坑區"
2,"",1,"蘇貞昌","男",2488,"52.27%","民主進步黨","新北市 石碇區"
3,"◎",2,"侯友宜","男",2272,"47.73%","中國國民黨","新北市 石碇區"
2,"",1,"蘇貞昌","男",2255,"55.46%","民主進步黨","新北市 坪林區"
3,"◎",2,"侯友宜","男",1811,"44.54%","中國國民黨","新北市 坪林區"
2,"",1,"蘇貞昌","男",4915,"40.60%","民主進步黨","新北市 三芝區"
3,"◎",2,"侯友宜","男",7191,"59.40%","中國國民黨","新北市 三芝區"
2,"",1,"蘇貞昌","男",2928,"41.30%","民主進步黨","新北市 石門區"
3,"◎",2,"侯友宜","男",4162,"58.70%","中國國民黨","新北市 石門區"
2,"",1,"蘇貞昌","男",8982,"46.00%","民主進步黨","新北市 八里區"
3,"◎",2,"侯友宜","男",10545,"54.00%","中國國民黨","新北市 八里區"
2,"",1,"蘇貞昌","男",1417,"46.72%","民主進步黨","新北市 平溪區"
3,"◎",2,"侯友宜","男",1616,"53.28%","中國國民黨","新北市 平溪區"
2,"",1,"蘇貞昌","男",2423,"44.18%","民主進步黨","新北市 雙溪區"
3,"◎",2,"侯友宜","男",3062,"55.82%","中國國民黨","新北市 雙溪區"
2,"",1,"蘇貞昌","男",3698,"54.21%","民主進步黨","新北市 貢寮區"
3,"◎",2,"侯友宜","男",3123,"45.79%","中國國民黨","新北市 貢寮區"
2,"",1,"蘇貞昌","男",5344,"46.11%","民主進步黨","新北市 金山區"
3,"◎",2,"侯友宜","男",6246,"53.89%","中國國民黨","新北市 金山區"
2,"",1,"蘇貞昌","男",4928,"42.95%","民主進步黨","新北市 萬里區"
3,"◎",2,"侯友宜","男",6547,"57.05%","中國國民黨","新北市 萬里區"
2,"",1,"蘇貞昌","男",1399,"35.23%","民主進步黨","新北市 烏來區"
3,"◎",2,"侯友宜","男",2572,"64.77%","中國國民黨","新北市 烏來區"
