"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
2,"",1,"朱梅雪","男",4084,"2.10%","無","桃園市 桃園區"
3,"",2,"陳學聖","男",73799,"37.98%","中國國民黨","桃園市 桃園區"
4,"",3,"楊麗環","女",14752,"7.59%","無","桃園市 桃園區"
5,"",4,"吳富彤","男",424,"0.22%","無","桃園市 桃園區"
6,"◎",5,"鄭文燦","男",101241,"52.11%","民主進步黨","桃園市 桃園區"
2,"",1,"朱梅雪","男",3250,"1.68%","無","桃園市 中壢區"
3,"",2,"陳學聖","男",88154,"45.69%","中國國民黨","桃園市 中壢區"
4,"",3,"楊麗環","女",6829,"3.54%","無","桃園市 中壢區"
5,"",4,"吳富彤","男",561,"0.29%","無","桃園市 中壢區"
6,"◎",5,"鄭文燦","男",94164,"48.80%","民主進步黨","桃園市 中壢區"
2,"",1,"朱梅雪","男",610,"1.28%","無","桃園市 大溪區"
3,"",2,"陳學聖","男",16271,"34.10%","中國國民黨","桃園市 大溪區"
4,"",3,"楊麗環","女",1897,"3.98%","無","桃園市 大溪區"
5,"",4,"吳富彤","男",190,"0.40%","無","桃園市 大溪區"
6,"◎",5,"鄭文燦","男",28746,"60.25%","民主進步黨","桃園市 大溪區"
2,"",1,"朱梅雪","男",1204,"1.55%","無","桃園市 楊梅區"
3,"",2,"陳學聖","男",32538,"41.85%","中國國民黨","桃園市 楊梅區"
4,"",3,"楊麗環","女",3387,"4.36%","無","桃園市 楊梅區"
5,"",4,"吳富彤","男",348,"0.45%","無","桃園市 楊梅區"
6,"◎",5,"鄭文燦","男",40272,"51.80%","民主進步黨","桃園市 楊梅區"
2,"",1,"朱梅雪","男",1610,"2.23%","無","桃園市 蘆竹區"
3,"",2,"陳學聖","男",24164,"33.50%","中國國民黨","桃園市 蘆竹區"
4,"",3,"楊麗環","女",4197,"5.82%","無","桃園市 蘆竹區"
5,"",4,"吳富彤","男",214,"0.30%","無","桃園市 蘆竹區"
6,"◎",5,"鄭文燦","男",41938,"58.15%","民主進步黨","桃園市 蘆竹區"
2,"",1,"朱梅雪","男",795,"1.77%","無","桃園市 大園區"
3,"",2,"陳學聖","男",13865,"30.80%","中國國民黨","桃園市 大園區"
4,"",3,"楊麗環","女",2508,"5.57%","無","桃園市 大園區"
5,"",4,"吳富彤","男",201,"0.45%","無","桃園市 大園區"
6,"◎",5,"鄭文燦","男",27652,"61.42%","民主進步黨","桃園市 大園區"
2,"",1,"朱梅雪","男",1372,"1.89%","無","桃園市 龜山區"
3,"",2,"陳學聖","男",26791,"36.96%","中國國民黨","桃園市 龜山區"
4,"",3,"楊麗環","女",4071,"5.62%","無","桃園市 龜山區"
5,"",4,"吳富彤","男",256,"0.35%","無","桃園市 龜山區"
6,"◎",5,"鄭文燦","男",39998,"55.18%","民主進步黨","桃園市 龜山區"
2,"",1,"朱梅雪","男",1633,"1.74%","無","桃園市 八德區"
3,"",2,"陳學聖","男",36314,"38.61%","中國國民黨","桃園市 八德區"
4,"",3,"楊麗環","女",4174,"4.44%","無","桃園市 八德區"
5,"",4,"吳富彤","男",273,"0.29%","無","桃園市 八德區"
6,"◎",5,"鄭文燦","男",51667,"54.93%","民主進步黨","桃園市 八德區"
2,"",1,"朱梅雪","男",979,"1.64%","無","桃園市 龍潭區"
3,"",2,"陳學聖","男",27385,"45.77%","中國國民黨","桃園市 龍潭區"
4,"",3,"楊麗環","女",2296,"3.84%","無","桃園市 龍潭區"
5,"",4,"吳富彤","男",568,"0.95%","無","桃園市 龍潭區"
6,"◎",5,"鄭文燦","男",28610,"47.81%","民主進步黨","桃園市 龍潭區"
2,"",1,"朱梅雪","男",1694,"1.58%","無","桃園市 平鎮區"
3,"",2,"陳學聖","男",45697,"42.62%","中國國民黨","桃園市 平鎮區"
4,"",3,"楊麗環","女",3846,"3.59%","無","桃園市 平鎮區"
5,"",4,"吳富彤","男",483,"0.45%","無","桃園市 平鎮區"
6,"◎",5,"鄭文燦","男",55507,"51.77%","民主進步黨","桃園市 平鎮區"
2,"",1,"朱梅雪","男",370,"1.29%","無","桃園市 新屋區"
3,"",2,"陳學聖","男",9164,"31.94%","中國國民黨","桃園市 新屋區"
4,"",3,"楊麗環","女",1434,"5.00%","無","桃園市 新屋區"
5,"",4,"吳富彤","男",141,"0.49%","無","桃園市 新屋區"
6,"◎",5,"鄭文燦","男",17581,"61.28%","民主進步黨","桃園市 新屋區"
2,"",1,"朱梅雪","男",556,"1.64%","無","桃園市 觀音區"
3,"",2,"陳學聖","男",10126,"29.80%","中國國民黨","桃園市 觀音區"
4,"",3,"楊麗環","女",1833,"5.39%","無","桃園市 觀音區"
5,"",4,"吳富彤","男",176,"0.52%","無","桃園市 觀音區"
6,"◎",5,"鄭文燦","男",21285,"62.65%","民主進步黨","桃園市 觀音區"
2,"",1,"朱梅雪","男",43,"0.61%","無","桃園市 復興區"
3,"",2,"陳學聖","男",2966,"42.35%","中國國民黨","桃園市 復興區"
4,"",3,"楊麗環","女",294,"4.20%","無","桃園市 復興區"
5,"",4,"吳富彤","男",32,"0.46%","無","桃園市 復興區"
6,"◎",5,"鄭文燦","男",3669,"52.38%","民主進步黨","桃園市 復興區"
