"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"1",2,"",1,"宋原通","男",86,"0.94%","無","臺中市 在中區"
"2",3,"",2,"林佳龍","男",4173,"45.77%","民主進步黨","臺中市 在中區"
"3",4,"◎",3,"盧秀燕","女",4859,"53.29%","中國國民黨","臺中市 在中區"
"4",2,"",1,"宋原通","男",458,"1.10%","無","臺中市 在東區"
"5",3,"",2,"林佳龍","男",19078,"45.87%","民主進步黨","臺中市 在東區"
"6",4,"◎",3,"盧秀燕","女",22055,"53.03%","中國國民黨","臺中市 在東區"
"7",2,"",1,"宋原通","男",658,"0.99%","無","臺中市 在南區"
"8",3,"",2,"林佳龍","男",28330,"42.77%","民主進步黨","臺中市 在南區"
"9",4,"◎",3,"盧秀燕","女",37250,"56.24%","中國國民黨","臺中市 在南區"
"10",2,"",1,"宋原通","男",618,"1.03%","無","臺中市 在西區"
"11",3,"",2,"林佳龍","男",25616,"42.86%","民主進步黨","臺中市 在西區"
"12",4,"◎",3,"盧秀燕","女",33534,"56.11%","中國國民黨","臺中市 在西區"
"13",2,"",1,"宋原通","男",745,"0.97%","無","臺中市 在北區"
"14",3,"",2,"林佳龍","男",30187,"39.36%","民主進步黨","臺中市 在北區"
"15",4,"◎",3,"盧秀燕","女",45769,"59.67%","中國國民黨","臺中市 在北區"
"16",2,"",1,"宋原通","男",1083,"0.97%","無","臺中市 西屯區"
"17",3,"",2,"林佳龍","男",43307,"38.73%","民主進步黨","臺中市 西屯區"
"18",4,"◎",3,"盧秀燕","女",67437,"60.30%","中國國民黨","臺中市 西屯區"
"19",2,"",1,"宋原通","男",914,"1.08%","無","臺中市 南屯區"
"20",3,"",2,"林佳龍","男",34396,"40.73%","民主進步黨","臺中市 南屯區"
"21",4,"◎",3,"盧秀燕","女",49134,"58.19%","中國國民黨","臺中市 南屯區"
"22",2,"",1,"宋原通","男",1268,"0.91%","無","臺中市 北屯區"
"23",3,"",2,"林佳龍","男",53504,"38.42%","民主進步黨","臺中市 北屯區"
