"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"1",2,"",1,"吳蕚洋","男",428,"0.40%","無","臺北市 松山區"
"2",3,"",2,"丁守中","男",46381,"43.36%","中國國民黨","臺北市 松山區"
"3",4,"",3,"姚文智","男",17387,"16.25%","民主進步黨","臺北市 松山區"
"4",5,"◎",4,"柯文哲","男",42356,"39.60%","無","臺北市 松山區"
"5",6,"",5,"李錫錕","男",420,"0.39%","無","臺北市 松山區"
"6",2,"",1,"吳蕚洋","男",502,"0.41%","無","臺北市 信義區"
"7",3,"",2,"丁守中","男",53955,"43.99%","中國國民黨","臺北市 信義區"
"8",4,"",3,"姚文智","男",19934,"16.25%","民主進步黨","臺北市 信義區"
"9",5,"◎",4,"柯文哲","男",47762,"38.94%","無","臺北市 信義區"
"10",6,"",5,"李錫錕","男",512,"0.42%","無","臺北市 信義區"
"11",2,"",1,"吳蕚洋","男",585,"0.37%","無","臺北市 大安區"
"12",3,"",2,"丁守中","男",72325,"45.73%","中國國民黨","臺北市 大安區"
"13",4,"",3,"姚文智","男",23651,"14.95%","民主進步黨","臺北市 大安區"
"14",5,"◎",4,"柯文哲","男",60939,"38.53%","無","臺北市 大安區"
"15",6,"",5,"李錫錕","男",662,"0.42%","無","臺北市 大安區"
"16",2,"",1,"吳蕚洋","男",476,"0.39%","無","臺北市 中山區"
"17",3,"",2,"丁守中","男",46746,"38.38%","中國國民黨","臺北市 中山區"
"18",4,"",3,"姚文智","男",23483,"19.28%","民主進步黨","臺北市 中山區"
"19",5,"◎",4,"柯文哲","男",50604,"41.55%","無","臺北市 中山區"
"20",6,"",5,"李錫錕","男",491,"0.40%","無","臺北市 中山區"
"21",2,"",1,"吳蕚洋","男",370,"0.46%","無","臺北市 中正區"
"22",3,"",2,"丁守中","男",33897,"41.83%","中國國民黨","臺北市 中正區"
"23",4,"",3,"姚文智","男",12633,"15.59%","民主進步黨","臺北市 中正區"
"24",5,"◎",4,"柯文哲","男",33752,"41.65%","無","臺北市 中正區"
"25",6,"",5,"李錫錕","男",378,"0.47%","無","臺北市 中正區"
"26",2,"",1,"吳蕚洋","男",266,"0.38%","無","臺北市 大同區"
"27",3,"",2,"丁守中","男",20763,"29.69%","中國國民黨","臺北市 大同區"
"28",4,"",3,"姚文智","男",16896,"24.16%","民主進步黨","臺北市 大同區"
"29",5,"◎",4,"柯文哲","男",31679,"45.29%","無","臺北市 大同區"
"30",6,"",5,"李錫錕","男",339,"0.48%","無","臺北市 大同區"
"31",2,"",1,"吳蕚洋","男",427,"0.41%","無","臺北市 萬華區"
"32",3,"",2,"丁守中","男",38666,"37.05%","中國國民黨","臺北市 萬華區"
"33",4,"",3,"姚文智","男",21400,"20.50%","民主進步黨","臺北市 萬華區"
"34",5,"◎",4,"柯文哲","男",43411,"41.59%","無","臺北市 萬華區"
"35",6,"",5,"李錫錕","男",464,"0.44%","無","臺北市 萬華區"
"36",2,"",1,"吳蕚洋","男",707,"0.49%","無","臺北市 文山區"
"37",3,"",2,"丁守中","男",68586,"47.15%","中國國民黨","臺北市 文山區"
"38",4,"",3,"姚文智","男",18985,"13.05%","民主進步黨","臺北市 文山區"
"39",5,"◎",4,"柯文哲","男",56479,"38.83%","無","臺北市 文山區"
"40",6,"",5,"李錫錕","男",713,"0.49%","無","臺北市 文山區"
"41",2,"",1,"吳蕚洋","男",287,"0.43%","無","臺北市 南港區"
"42",3,"",2,"丁守中","男",26282,"39.45%","中國國民黨","臺北市 南港區"
"43",4,"",3,"姚文智","男",10830,"16.26%","民主進步黨","臺北市 南港區"
"44",5,"◎",4,"柯文哲","男",28896,"43.37%","無","臺北市 南港區"
"45",6,"",5,"李錫錕","男",325,"0.49%","無","臺北市 南港區"
"46",2,"",1,"吳蕚洋","男",548,"0.37%","無","臺北市 內湖區"
"47",3,"",2,"丁守中","男",61566,"41.02%","中國國民黨","臺北市 內湖區"
"48",4,"",3,"姚文智","男",21746,"14.49%","民主進步黨","臺北市 內湖區"
"49",5,"◎",4,"柯文哲","男",65599,"43.70%","無","臺北市 內湖區"
"50",6,"",5,"李錫錕","男",639,"0.43%","無","臺北市 內湖區"
"51",2,"",1,"吳蕚洋","男",522,"0.34%","無","臺北市 士林區"
"52",3,"",2,"丁守中","男",55954,"36.46%","中國國民黨","臺北市 士林區"
"53",4,"",3,"姚文智","男",33110,"21.57%","民主進步黨","臺北市 士林區"
"54",5,"◎",4,"柯文哲","男",63247,"41.21%","無","臺北市 士林區"
"55",6,"",5,"李錫錕","男",651,"0.42%","無","臺北市 士林區"
"56",2,"",1,"吳蕚洋","男",499,"0.37%","無","臺北市 北投區"
"57",3,"",2,"丁守中","男",52445,"39.08%","中國國民黨","臺北市 北投區"
"58",4,"",3,"姚文智","男",24586,"18.32%","民主進步黨","臺北市 北投區"
"59",5,"◎",4,"柯文哲","男",56096,"41.80%","無","臺北市 北投區"
"60",6,"",5,"李錫錕","男",578,"0.43%","無","臺北市 北投區"
