"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"1",2,"◎",1,"黃偉哲","男",13462,"35.26%","民主進步黨","臺南市 新營區"
"2",3,"",2,"高思博","男",14120,"36.98%","中國國民黨","臺南市 新營區"
"3",4,"",3,"林義豐","男",4359,"11.42%","無","臺南市 新營區"
"4",5,"",4,"許忠信","男",1616,"4.23%","無","臺南市 新營區"
"5",6,"",5,"陳永和","男",3176,"8.32%","無","臺南市 新營區"
"6",7,"",6,"蘇煥智","男",1448,"3.79%","無","臺南市 新營區"
"7",2,"◎",1,"黃偉哲","男",6555,"45.92%","民主進步黨","臺南市 鹽水區"
"8",3,"",2,"高思博","男",3981,"27.89%","中國國民黨","臺南市 鹽水區"
"9",4,"",3,"林義豐","男",1618,"11.33%","無","臺南市 鹽水區"
"10",5,"",4,"許忠信","男",566,"3.96%","無","臺南市 鹽水區"
"11",6,"",5,"陳永和","男",862,"6.04%","無","臺南市 鹽水區"
"12",7,"",6,"蘇煥智","男",694,"4.86%","無","臺南市 鹽水區"
"13",2,"◎",1,"黃偉哲","男",7130,"46.44%","民主進步黨","臺南市 白河區"
"14",3,"",2,"高思博","男",4715,"30.71%","中國國民黨","臺南市 白河區"
"15",4,"",3,"林義豐","男",1371,"8.93%","無","臺南市 白河區"
"16",5,"",4,"許忠信","男",562,"3.66%","無","臺南市 白河區"
"17",6,"",5,"陳永和","男",705,"4.59%","無","臺南市 白河區"
"18",7,"",6,"蘇煥智","男",871,"5.67%","無","臺南市 白河區"
"19",2,"◎",1,"黃偉哲","男",5212,"42.68%","民主進步黨","臺南市 柳營區"
"20",3,"",2,"高思博","男",3630,"29.72%","中國國民黨","臺南市 柳營區"
"21",4,"",3,"林義豐","男",1578,"12.92%","無","臺南市 柳營區"
"22",5,"",4,"許忠信","男",506,"4.14%","無","臺南市 柳營區"
"23",6,"",5,"陳永和","男",777,"6.36%","無","臺南市 柳營區"
"24",7,"",6,"蘇煥智","男",510,"4.18%","無","臺南市 柳營區"
"25",2,"◎",1,"黃偉哲","男",6345,"45.95%","民主進步黨","臺南市 後壁區"
"26",3,"",2,"高思博","男",3940,"28.53%","中國國民黨","臺南市 後壁區"
"27",4,"",3,"林義豐","男",1458,"10.56%","無","臺南市 後壁區"
"28",5,"",4,"許忠信","男",552,"4.00%","無","臺南市 後壁區"
"29",6,"",5,"陳永和","男",662,"4.79%","無","臺南市 後壁區"
"30",7,"",6,"蘇煥智","男",852,"6.17%","無","臺南市 後壁區"
"31",2,"◎",1,"黃偉哲","男",4627,"42.01%","民主進步黨","臺南市 東山區"
"32",3,"",2,"高思博","男",3742,"33.97%","中國國民黨","臺南市 東山區"
"33",4,"",3,"林義豐","男",1111,"10.09%","無","臺南市 東山區"
"34",5,"",4,"許忠信","男",495,"4.49%","無","臺南市 東山區"
"35",6,"",5,"陳永和","男",474,"4.30%","無","臺南市 東山區"
"36",7,"",6,"蘇煥智","男",565,"5.13%","無","臺南市 東山區"
"37",2,"◎",1,"黃偉哲","男",11716,"48.58%","民主進步黨","臺南市 麻豆區"
"38",3,"",2,"高思博","男",5630,"23.34%","中國國民黨","臺南市 麻豆區"
"39",4,"",3,"林義豐","男",2086,"8.65%","無","臺南市 麻豆區"
"40",5,"",4,"許忠信","男",1402,"5.81%","無","臺南市 麻豆區"
"41",6,"",5,"陳永和","男",2343,"9.71%","無","臺南市 麻豆區"
"42",7,"",6,"蘇煥智","男",941,"3.90%","無","臺南市 麻豆區"
"43",2,"◎",1,"黃偉哲","男",5492,"42.59%","民主進步黨","臺南市 下營區"
"44",3,"",2,"高思博","男",3767,"29.21%","中國國民黨","臺南市 下營區"
"45",4,"",3,"林義豐","男",1449,"11.24%","無","臺南市 下營區"
"46",5,"",4,"許忠信","男",664,"5.15%","無","臺南市 下營區"
"47",6,"",5,"陳永和","男",1031,"8.00%","無","臺南市 下營區"
"48",7,"",6,"蘇煥智","男",492,"3.82%","無","臺南市 下營區"
"49",2,"◎",1,"黃偉哲","男",5309,"43.24%","民主進步黨","臺南市 六甲區"
"50",3,"",2,"高思博","男",3260,"26.55%","中國國民黨","臺南市 六甲區"
"51",4,"",3,"林義豐","男",1381,"11.25%","無","臺南市 六甲區"
"52",5,"",4,"許忠信","男",674,"5.49%","無","臺南市 六甲區"
"53",6,"",5,"陳永和","男",1022,"8.32%","無","臺南市 六甲區"
"54",7,"",6,"蘇煥智","男",633,"5.16%","無","臺南市 六甲區"
"55",2,"◎",1,"黃偉哲","男",5514,"45.37%","民主進步黨","臺南市 官田區"
"56",3,"",2,"高思博","男",3107,"25.56%","中國國民黨","臺南市 官田區"
"57",4,"",3,"林義豐","男",1265,"10.41%","無","臺南市 官田區"
"58",5,"",4,"許忠信","男",678,"5.58%","無","臺南市 官田區"
"59",6,"",5,"陳永和","男",1025,"8.43%","無","臺南市 官田區"
"60",7,"",6,"蘇煥智","男",565,"4.65%","無","臺南市 官田區"
"61",2,"◎",1,"黃偉哲","男",2271,"39.13%","民主進步黨","臺南市 大內區"
"62",3,"",2,"高思博","男",1687,"29.07%","中國國民黨","臺南市 大內區"
"63",4,"",3,"林義豐","男",673,"11.60%","無","臺南市 大內區"
"64",5,"",4,"許忠信","男",397,"6.84%","無","臺南市 大內區"
"65",6,"",5,"陳永和","男",481,"8.29%","無","臺南市 大內區"
"66",7,"",6,"蘇煥智","男",295,"5.08%","無","臺南市 大內區"
"67",2,"◎",1,"黃偉哲","男",12783,"40.53%","民主進步黨","臺南市 佳里區"
"68",3,"",2,"高思博","男",9178,"29.10%","中國國民黨","臺南市 佳里區"
"69",4,"",3,"林義豐","男",3005,"9.53%","無","臺南市 佳里區"
"70",5,"",4,"許忠信","男",2001,"6.34%","無","臺南市 佳里區"
"71",6,"",5,"陳永和","男",3366,"10.67%","無","臺南市 佳里區"
"72",7,"",6,"蘇煥智","男",1205,"3.82%","無","臺南市 佳里區"
"73",2,"◎",1,"黃偉哲","男",6509,"47.08%","民主進步黨","臺南市 學甲區"
"74",3,"",2,"高思博","男",3860,"27.92%","中國國民黨","臺南市 學甲區"
"75",4,"",3,"林義豐","男",1228,"8.88%","無","臺南市 學甲區"
"76",5,"",4,"許忠信","男",570,"4.12%","無","臺南市 學甲區"
"77",6,"",5,"陳永和","男",1107,"8.01%","無","臺南市 學甲區"
"78",7,"",6,"蘇煥智","男",552,"3.99%","無","臺南市 學甲區"
"79",2,"◎",1,"黃偉哲","男",6041,"43.79%","民主進步黨","臺南市 西港區"
"80",3,"",2,"高思博","男",3593,"26.05%","中國國民黨","臺南市 西港區"
"81",4,"",3,"林義豐","男",1387,"10.06%","無","臺南市 西港區"
"82",5,"",4,"許忠信","男",722,"5.23%","無","臺南市 西港區"
"83",6,"",5,"陳永和","男",1536,"11.14%","無","臺南市 西港區"
"84",7,"",6,"蘇煥智","男",515,"3.73%","無","臺南市 西港區"
"85",2,"◎",1,"黃偉哲","男",5670,"43.39%","民主進步黨","臺南市 七股區"
"86",3,"",2,"高思博","男",3251,"24.88%","中國國民黨","臺南市 七股區"
"87",4,"",3,"林義豐","男",1347,"10.31%","無","臺南市 七股區"
"88",5,"",4,"許忠信","男",960,"7.35%","無","臺南市 七股區"
"89",6,"",5,"陳永和","男",1144,"8.75%","無","臺南市 七股區"
"90",7,"",6,"蘇煥智","男",695,"5.32%","無","臺南市 七股區"
"91",2,"◎",1,"黃偉哲","男",5438,"45.68%","民主進步黨","臺南市 將軍區"
"92",3,"",2,"高思博","男",3109,"26.12%","中國國民黨","臺南市 將軍區"
"93",4,"",3,"林義豐","男",1115,"9.37%","無","臺南市 將軍區"
"94",5,"",4,"許忠信","男",873,"7.33%","無","臺南市 將軍區"
"95",6,"",5,"陳永和","男",912,"7.66%","無","臺南市 將軍區"
"96",7,"",6,"蘇煥智","男",457,"3.84%","無","臺南市 將軍區"
"97",2,"◎",1,"黃偉哲","男",2757,"42.63%","民主進步黨","臺南市 北門區"
"98",3,"",2,"高思博","男",1877,"29.02%","中國國民黨","臺南市 北門區"
"99",4,"",3,"林義豐","男",652,"10.08%","無","臺南市 北門區"
"100",5,"",4,"許忠信","男",395,"6.11%","無","臺南市 北門區"
"101",6,"",5,"陳永和","男",448,"6.93%","無","臺南市 北門區"
"102",7,"",6,"蘇煥智","男",339,"5.24%","無","臺南市 北門區"
"103",2,"◎",1,"黃偉哲","男",9154,"38.46%","民主進步黨","臺南市 新化區"
"104",3,"",2,"高思博","男",7591,"31.89%","中國國民黨","臺南市 新化區"
"105",4,"",3,"林義豐","男",2223,"9.34%","無","臺南市 新化區"
"106",5,"",4,"許忠信","男",1102,"4.63%","無","臺南市 新化區"
"107",6,"",5,"陳永和","男",2822,"11.86%","無","臺南市 新化區"
"108",7,"",6,"蘇煥智","男",911,"3.83%","無","臺南市 新化區"
"109",2,"◎",1,"黃偉哲","男",9435,"39.40%","民主進步黨","臺南市 善化區"
"110",3,"",2,"高思博","男",6948,"29.02%","中國國民黨","臺南市 善化區"
"111",4,"",3,"林義豐","男",2001,"8.36%","無","臺南市 善化區"
"112",5,"",4,"許忠信","男",1583,"6.61%","無","臺南市 善化區"
"113",6,"",5,"陳永和","男",2878,"12.02%","無","臺南市 善化區"
"114",7,"",6,"蘇煥智","男",1099,"4.59%","無","臺南市 善化區"
"115",2,"◎",1,"黃偉哲","男",7027,"37.42%","民主進步黨","臺南市 新市區"
"116",3,"",2,"高思博","男",5034,"26.81%","中國國民黨","臺南市 新市區"
"117",4,"",3,"林義豐","男",1605,"8.55%","無","臺南市 新市區"
"118",5,"",4,"許忠信","男",2012,"10.71%","無","臺南市 新市區"
"119",6,"",5,"陳永和","男",2340,"12.46%","無","臺南市 新市區"
"120",7,"",6,"蘇煥智","男",762,"4.06%","無","臺南市 新市區"
"121",2,"◎",1,"黃偉哲","男",6643,"40.09%","民主進步黨","臺南市 安定區"
"122",3,"",2,"高思博","男",4752,"28.67%","中國國民黨","臺南市 安定區"
"123",4,"",3,"林義豐","男",1576,"9.51%","無","臺南市 安定區"
"124",5,"",4,"許忠信","男",899,"5.42%","無","臺南市 安定區"
"125",6,"",5,"陳永和","男",1997,"12.05%","無","臺南市 安定區"
"126",7,"",6,"蘇煥智","男",705,"4.25%","無","臺南市 安定區"
"127",2,"◎",1,"黃偉哲","男",1521,"37.37%","民主進步黨","臺南市 山上區"
"128",3,"",2,"高思博","男",1244,"30.57%","中國國民黨","臺南市 山上區"
"129",4,"",3,"林義豐","男",467,"11.47%","無","臺南市 山上區"
"130",5,"",4,"許忠信","男",217,"5.33%","無","臺南市 山上區"
"131",6,"",5,"陳永和","男",423,"10.39%","無","臺南市 山上區"
"132",7,"",6,"蘇煥智","男",198,"4.86%","無","臺南市 山上區"
"133",2,"◎",1,"黃偉哲","男",2656,"32.54%","民主進步黨","臺南市 玉井區"
"134",3,"",2,"高思博","男",3442,"42.17%","中國國民黨","臺南市 玉井區"
"135",4,"",3,"林義豐","男",665,"8.15%","無","臺南市 玉井區"
"136",5,"",4,"許忠信","男",302,"3.70%","無","臺南市 玉井區"
"137",6,"",5,"陳永和","男",632,"7.74%","無","臺南市 玉井區"
"138",7,"",6,"蘇煥智","男",465,"5.70%","無","臺南市 玉井區"
"139",2,"◎",1,"黃偉哲","男",1576,"28.48%","民主進步黨","臺南市 楠西區"
"140",3,"",2,"高思博","男",2687,"48.56%","中國國民黨","臺南市 楠西區"
"141",4,"",3,"林義豐","男",400,"7.23%","無","臺南市 楠西區"
"142",5,"",4,"許忠信","男",218,"3.94%","無","臺南市 楠西區"
"143",6,"",5,"陳永和","男",353,"6.38%","無","臺南市 楠西區"
"144",7,"",6,"蘇煥智","男",299,"5.40%","無","臺南市 楠西區"
"145",2,"◎",1,"黃偉哲","男",1792,"33.17%","民主進步黨","臺南市 南化區"
"146",3,"",2,"高思博","男",2229,"41.26%","中國國民黨","臺南市 南化區"
"147",4,"",3,"林義豐","男",474,"8.77%","無","臺南市 南化區"
"148",5,"",4,"許忠信","男",173,"3.20%","無","臺南市 南化區"
"149",6,"",5,"陳永和","男",402,"7.44%","無","臺南市 南化區"
"150",7,"",6,"蘇煥智","男",332,"6.15%","無","臺南市 南化區"
"151",2,"◎",1,"黃偉哲","男",1233,"41.80%","民主進步黨","臺南市 左鎮區"
"152",3,"",2,"高思博","男",939,"31.83%","中國國民黨","臺南市 左鎮區"
"153",4,"",3,"林義豐","男",195,"6.61%","無","臺南市 左鎮區"
"154",5,"",4,"許忠信","男",211,"7.15%","無","臺南市 左鎮區"
"155",6,"",5,"陳永和","男",221,"7.49%","無","臺南市 左鎮區"
"156",7,"",6,"蘇煥智","男",151,"5.12%","無","臺南市 左鎮區"
"157",2,"◎",1,"黃偉哲","男",14717,"36.41%","民主進步黨","臺南市 仁德區"
"158",3,"",2,"高思博","男",12883,"31.88%","中國國民黨","臺南市 仁德區"
