"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
2,"",1,"朱泰平","男",1070,"2.31%","無","苗栗縣 苗栗市"
3,"",2,"徐定禎","男",15711,"33.92%","無","苗栗縣 苗栗市"
4,"",3,"黃玉燕","女",1158,"2.50%","無","苗栗縣 苗栗市"
5,"◎",4,"徐耀昌","男",28376,"61.27%","中國國民黨","苗栗縣 苗栗市"
2,"",1,"朱泰平","男",732,"2.81%","無","苗栗縣 苑裡鎮"
3,"",2,"徐定禎","男",10002,"38.35%","無","苗栗縣 苑裡鎮"
4,"",3,"黃玉燕","女",1023,"3.92%","無","苗栗縣 苑裡鎮"
5,"◎",4,"徐耀昌","男",14322,"54.92%","中國國民黨","苗栗縣 苑裡鎮"
2,"",1,"朱泰平","男",567,"2.73%","無","苗栗縣 通霄鎮"
3,"",2,"徐定禎","男",10375,"49.99%","無","苗栗縣 通霄鎮"
4,"",3,"黃玉燕","女",841,"4.05%","無","苗栗縣 通霄鎮"
5,"◎",4,"徐耀昌","男",8970,"43.22%","中國國民黨","苗栗縣 通霄鎮"
2,"",1,"朱泰平","男",1138,"2.70%","無","苗栗縣 竹南鎮"
3,"",2,"徐定禎","男",16806,"39.95%","無","苗栗縣 竹南鎮"
4,"",3,"黃玉燕","女",1342,"3.19%","無","苗栗縣 竹南鎮"
5,"◎",4,"徐耀昌","男",22785,"54.16%","中國國民黨","苗栗縣 竹南鎮"
2,"",1,"朱泰平","男",816,"1.57%","無","苗栗縣 頭份市"
3,"",2,"徐定禎","男",17558,"33.81%","無","苗栗縣 頭份市"
4,"",3,"黃玉燕","女",1421,"2.74%","無","苗栗縣 頭份市"
5,"◎",4,"徐耀昌","男",32143,"61.89%","中國國民黨","苗栗縣 頭份市"
2,"",1,"朱泰平","男",489,"2.29%","無","苗栗縣 後龍鎮"
3,"",2,"徐定禎","男",10631,"49.69%","無","苗栗縣 後龍鎮"
4,"",3,"黃玉燕","女",717,"3.35%","無","苗栗縣 後龍鎮"
5,"◎",4,"徐耀昌","男",9556,"44.67%","中國國民黨","苗栗縣 後龍鎮"
2,"",1,"朱泰平","男",435,"4.01%","無","苗栗縣 卓蘭鎮"
3,"",2,"徐定禎","男",3315,"30.57%","無","苗栗縣 卓蘭鎮"
4,"",3,"黃玉燕","女",378,"3.49%","無","苗栗縣 卓蘭鎮"
5,"◎",4,"徐耀昌","男",6717,"61.94%","中國國民黨","苗栗縣 卓蘭鎮"
2,"",1,"朱泰平","男",305,"3.50%","無","苗栗縣 大湖鄉"
3,"",2,"徐定禎","男",2791,"32.07%","無","苗栗縣 大湖鄉"
4,"",3,"黃玉燕","女",225,"2.59%","無","苗栗縣 大湖鄉"
5,"◎",4,"徐耀昌","男",5382,"61.84%","中國國民黨","苗栗縣 大湖鄉"
2,"",1,"朱泰平","男",362,"1.93%","無","苗栗縣 公館鄉"
3,"",2,"徐定禎","男",6446,"34.28%","無","苗栗縣 公館鄉"
4,"",3,"黃玉燕","女",449,"2.39%","無","苗栗縣 公館鄉"
5,"◎",4,"徐耀昌","男",11545,"61.40%","中國國民黨","苗栗縣 公館鄉"
2,"",1,"朱泰平","男",180,"1.68%","無","苗栗縣 銅鑼鄉"
3,"",2,"徐定禎","男",3894,"36.42%","無","苗栗縣 銅鑼鄉"
4,"",3,"黃玉燕","女",286,"2.68%","無","苗栗縣 銅鑼鄉"
5,"◎",4,"徐耀昌","男",6331,"59.22%","中國國民黨","苗栗縣 銅鑼鄉"
2,"",1,"朱泰平","男",91,"1.51%","無","苗栗縣 南庄鄉"
3,"",2,"徐定禎","男",1814,"30.02%","無","苗栗縣 南庄鄉"
4,"",3,"黃玉燕","女",124,"2.05%","無","苗栗縣 南庄鄉"
5,"◎",4,"徐耀昌","男",4014,"66.42%","中國國民黨","苗栗縣 南庄鄉"
2,"",1,"朱泰平","男",108,"1.45%","無","苗栗縣 頭屋鄉"
3,"",2,"徐定禎","男",2307,"31.05%","無","苗栗縣 頭屋鄉"
4,"",3,"黃玉燕","女",151,"2.03%","無","苗栗縣 頭屋鄉"
5,"◎",4,"徐耀昌","男",4863,"65.46%","中國國民黨","苗栗縣 頭屋鄉"
2,"",1,"朱泰平","男",178,"1.80%","無","苗栗縣 三義鄉"
3,"",2,"徐定禎","男",3540,"35.78%","無","苗栗縣 三義鄉"
4,"",3,"黃玉燕","女",330,"3.34%","無","苗栗縣 三義鄉"
5,"◎",4,"徐耀昌","男",5845,"59.08%","中國國民黨","苗栗縣 三義鄉"
2,"",1,"朱泰平","男",72,"1.54%","無","苗栗縣 西湖鄉"
3,"",2,"徐定禎","男",1685,"35.95%","無","苗栗縣 西湖鄉"
4,"",3,"黃玉燕","女",113,"2.41%","無","苗栗縣 西湖鄉"
5,"◎",4,"徐耀昌","男",2817,"60.10%","中國國民黨","苗栗縣 西湖鄉"
2,"",1,"朱泰平","男",145,"1.97%","無","苗栗縣 造橋鄉"
3,"",2,"徐定禎","男",2561,"34.87%","無","苗栗縣 造橋鄉"
4,"",3,"黃玉燕","女",194,"2.64%","無","苗栗縣 造橋鄉"
5,"◎",4,"徐耀昌","男",4444,"60.51%","中國國民黨","苗栗縣 造橋鄉"
2,"",1,"朱泰平","男",62,"1.51%","無","苗栗縣 三灣鄉"
3,"",2,"徐定禎","男",1192,"28.97%","無","苗栗縣 三灣鄉"
