	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2		1	謝立功	男	12009	47.21%	中國國民黨	基隆市 中正區
3	◎	2	林右昌	男	13431	52.79%	民主進步黨	基隆市 中正區
2		1	謝立功	男	11745	42.50%	中國國民黨	基隆市 七堵區
3	◎	2	林右昌	男	15891	57.50%	民主進步黨	基隆市 七堵區
2		1	謝立功	男	9222	46.76%	中國國民黨	基隆市 暖暖區
3	◎	2	林右昌	男	10500	53.24%	民主進步黨	基隆市 暖暖區
2		1	謝立功	男	9877	44.13%	中國國民黨	基隆市 仁愛區
3	◎	2	林右昌	男	12507	55.87%	民主進步黨	基隆市 仁愛區
2		1	謝立功	男	11424	45.51%	中國國民黨	基隆市 中山區
3	◎	2	林右昌	男	13678	54.49%	民主進步黨	基隆市 中山區
2		1	謝立功	男	18580	45.04%	中國國民黨	基隆市 安樂區
3	◎	2	林右昌	男	22676	54.96%	民主進步黨	基隆市 安樂區
2		1	謝立功	男	13672	50.35%	中國國民黨	基隆市 信義區
3	◎	2	林右昌	男	13484	49.65%	民主進步黨	基隆市 信義區
