	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2		1	謝文進	男	19364	19.45%	無	新竹市 東區
3		2	李驥羣	男	323	0.32%	無	新竹市 東區
4		3	黃源甫	男	2165	2.17%	無	新竹市 東區
5		4	許明財	男	29097	29.23%	中國國民黨	新竹市 東區
6		5	郭榮睿	男	261	0.26%	無	新竹市 東區
7	◎	6	林智堅	男	48346	48.56%	民主進步黨	新竹市 東區
2		1	謝文進	男	17017	22.39%	無	新竹市 北區
3		2	李驥羣	男	236	0.31%	無	新竹市 北區
4		3	黃源甫	男	1053	1.39%	無	新竹市 北區
5		4	許明財	男	20850	27.43%	中國國民黨	新竹市 北區
6		5	郭榮睿	男	195	0.26%	無	新竹市 北區
7	◎	6	林智堅	男	36655	48.23%	民主進步黨	新竹市 北區
2		1	謝文進	男	7720	18.58%	無	新竹市 香山區
3		2	李驥羣	男	146	0.35%	無	新竹市 香山區
4		3	黃源甫	男	385	0.93%	無	新竹市 香山區
5		4	許明財	男	10561	25.42%	中國國民黨	新竹市 香山區
6		5	郭榮睿	男	118	0.28%	無	新竹市 香山區
7	◎	6	林智堅	男	22611	54.43%	民主進步黨	新竹市 香山區
