	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2		1	宋原通	男	86	0.94%	無	臺中市 中區
3		2	林佳龍	男	4173	45.77%	民主進步黨	臺中市 中區
4	◎	3	盧秀燕	女	4859	53.29%	中國國民黨	臺中市 中區
2		1	宋原通	男	458	1.10%	無	臺中市 東區
3		2	林佳龍	男	19078	45.87%	民主進步黨	臺中市 東區
4	◎	3	盧秀燕	女	22055	53.03%	中國國民黨	臺中市 東區
2		1	宋原通	男	658	0.99%	無	臺中市 南區
3		2	林佳龍	男	28330	42.77%	民主進步黨	臺中市 南區
4	◎	3	盧秀燕	女	37250	56.24%	中國國民黨	臺中市 南區
2		1	宋原通	男	618	1.03%	無	臺中市 西區
3		2	林佳龍	男	25616	42.86%	民主進步黨	臺中市 西區
4	◎	3	盧秀燕	女	33534	56.11%	中國國民黨	臺中市 西區
2		1	宋原通	男	745	0.97%	無	臺中市 北區
3		2	林佳龍	男	30187	39.36%	民主進步黨	臺中市 北區
4	◎	3	盧秀燕	女	45769	59.67%	中國國民黨	臺中市 北區
2		1	宋原通	男	1083	0.97%	無	臺中市 西屯區
3		2	林佳龍	男	43307	38.73%	民主進步黨	臺中市 西屯區
4	◎	3	盧秀燕	女	67437	60.30%	中國國民黨	臺中市 西屯區
2		1	宋原通	男	914	1.08%	無	臺中市 南屯區
3		2	林佳龍	男	34396	40.73%	民主進步黨	臺中市 南屯區
4	◎	3	盧秀燕	女	49134	58.19%	中國國民黨	臺中市 南屯區
2		1	宋原通	男	1268	0.91%	無	臺中市 北屯區
3		2	林佳龍	男	53504	38.42%	民主進步黨	臺中市 北屯區
4	◎	3	盧秀燕	女	84485	60.67%	中國國民黨	臺中市 北屯區
2		1	宋原通	男	986	1.10%	無	臺中市 豐原區
3		2	林佳龍	男	42504	47.27%	民主進步黨	臺中市 豐原區
4	◎	3	盧秀燕	女	46436	51.64%	中國國民黨	臺中市 豐原區
2		1	宋原通	男	330	1.13%	無	臺中市 東勢區
3		2	林佳龍	男	10727	36.64%	民主進步黨	臺中市 東勢區
4	◎	3	盧秀燕	女	18216	62.23%	中國國民黨	臺中市 東勢區
2		1	宋原通	男	484	1.15%	無	臺中市 大甲區
3		2	林佳龍	男	18523	44.14%	民主進步黨	臺中市 大甲區
4	◎	3	盧秀燕	女	22958	54.71%	中國國民黨	臺中市 大甲區
2		1	宋原通	男	525	1.07%	無	臺中市 清水區
3		2	林佳龍	男	22912	46.80%	民主進步黨	臺中市 清水區
4	◎	3	盧秀燕	女	25523	52.13%	中國國民黨	臺中市 清水區
2		1	宋原通	男	530	1.10%	無	臺中市 沙鹿區
3		2	林佳龍	男	20835	43.27%	民主進步黨	臺中市 沙鹿區
4	◎	3	盧秀燕	女	26784	55.63%	中國國民黨	臺中市 沙鹿區
2		1	宋原通	男	365	1.19%	無	臺中市 梧棲區
3		2	林佳龍	男	14663	47.67%	民主進步黨	臺中市 梧棲區
4	◎	3	盧秀燕	女	15729	51.14%	中國國民黨	臺中市 梧棲區
2		1	宋原通	男	420	1.36%	無	臺中市 后里區
3		2	林佳龍	男	12815	41.46%	民主進步黨	臺中市 后里區
4	◎	3	盧秀燕	女	17677	57.18%	中國國民黨	臺中市 后里區
2		1	宋原通	男	424	1.16%	無	臺中市 神岡區
3		2	林佳龍	男	18095	49.65%	民主進步黨	臺中市 神岡區
4	◎	3	盧秀燕	女	17928	49.19%	中國國民黨	臺中市 神岡區
2		1	宋原通	男	581	1.01%	無	臺中市 潭子區
3		2	林佳龍	男	24836	43.30%	民主進步黨	臺中市 潭子區
4	◎	3	盧秀燕	女	31938	55.68%	中國國民黨	臺中市 潭子區
2		1	宋原通	男	592	1.21%	無	臺中市 大雅區
3		2	林佳龍	男	20342	41.74%	民主進步黨	臺中市 大雅區
4	◎	3	盧秀燕	女	27797	57.04%	中國國民黨	臺中市 大雅區
2		1	宋原通	男	209	1.39%	無	臺中市 新社區
3		2	林佳龍	男	6009	40.10%	民主進步黨	臺中市 新社區
4	◎	3	盧秀燕	女	8767	58.51%	中國國民黨	臺中市 新社區
2		1	宋原通	男	110	1.21%	無	臺中市 石岡區
3		2	林佳龍	男	3571	39.35%	民主進步黨	臺中市 石岡區
4	◎	3	盧秀燕	女	5393	59.43%	中國國民黨	臺中市 石岡區
2		1	宋原通	男	215	1.17%	無	臺中市 外埔區
3		2	林佳龍	男	7124	38.76%	民主進步黨	臺中市 外埔區
4	◎	3	盧秀燕	女	11040	60.07%	中國國民黨	臺中市 外埔區
