	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2	◎	1	黃偉哲	男	13462	35.26%	民主進步黨	臺南市 新營區
3		2	高思博	男	14120	36.98%	中國國民黨	臺南市 新營區
4		3	林義豐	男	4359	11.42%	無	臺南市 新營區
5		4	許忠信	男	1616	4.23%	無	臺南市 新營區
6		5	陳永和	男	3176	8.32%	無	臺南市 新營區
7		6	蘇煥智	男	1448	3.79%	無	臺南市 新營區
2	◎	1	黃偉哲	男	6555	45.92%	民主進步黨	臺南市 鹽水區
3		2	高思博	男	3981	27.89%	中國國民黨	臺南市 鹽水區
4		3	林義豐	男	1618	11.33%	無	臺南市 鹽水區
5		4	許忠信	男	566	3.96%	無	臺南市 鹽水區
6		5	陳永和	男	862	6.04%	無	臺南市 鹽水區
7		6	蘇煥智	男	694	4.86%	無	臺南市 鹽水區
2	◎	1	黃偉哲	男	7130	46.44%	民主進步黨	臺南市 白河區
3		2	高思博	男	4715	30.71%	中國國民黨	臺南市 白河區
4		3	林義豐	男	1371	8.93%	無	臺南市 白河區
5		4	許忠信	男	562	3.66%	無	臺南市 白河區
6		5	陳永和	男	705	4.59%	無	臺南市 白河區
7		6	蘇煥智	男	871	5.67%	無	臺南市 白河區
2	◎	1	黃偉哲	男	5212	42.68%	民主進步黨	臺南市 柳營區
3		2	高思博	男	3630	29.72%	中國國民黨	臺南市 柳營區
4		3	林義豐	男	1578	12.92%	無	臺南市 柳營區
5		4	許忠信	男	506	4.14%	無	臺南市 柳營區
6		5	陳永和	男	777	6.36%	無	臺南市 柳營區
7		6	蘇煥智	男	510	4.18%	無	臺南市 柳營區
2	◎	1	黃偉哲	男	6345	45.95%	民主進步黨	臺南市 後壁區
3		2	高思博	男	3940	28.53%	中國國民黨	臺南市 後壁區
4		3	林義豐	男	1458	10.56%	無	臺南市 後壁區
5		4	許忠信	男	552	4.00%	無	臺南市 後壁區
6		5	陳永和	男	662	4.79%	無	臺南市 後壁區
7		6	蘇煥智	男	852	6.17%	無	臺南市 後壁區
2	◎	1	黃偉哲	男	4627	42.01%	民主進步黨	臺南市 東山區
3		2	高思博	男	3742	33.97%	中國國民黨	臺南市 東山區
4		3	林義豐	男	1111	10.09%	無	臺南市 東山區
5		4	許忠信	男	495	4.49%	無	臺南市 東山區
6		5	陳永和	男	474	4.30%	無	臺南市 東山區
7		6	蘇煥智	男	565	5.13%	無	臺南市 東山區
2	◎	1	黃偉哲	男	11716	48.58%	民主進步黨	臺南市 麻豆區
3		2	高思博	男	5630	23.34%	中國國民黨	臺南市 麻豆區
4		3	林義豐	男	2086	8.65%	無	臺南市 麻豆區
5		4	許忠信	男	1402	5.81%	無	臺南市 麻豆區
6		5	陳永和	男	2343	9.71%	無	臺南市 麻豆區
7		6	蘇煥智	男	941	3.90%	無	臺南市 麻豆區
2	◎	1	黃偉哲	男	5492	42.59%	民主進步黨	臺南市 下營區
3		2	高思博	男	3767	29.21%	中國國民黨	臺南市 下營區
4		3	林義豐	男	1449	11.24%	無	臺南市 下營區
5		4	許忠信	男	664	5.15%	無	臺南市 下營區
6		5	陳永和	男	1031	8.00%	無	臺南市 下營區
7		6	蘇煥智	男	492	3.82%	無	臺南市 下營區
2	◎	1	黃偉哲	男	5309	43.24%	民主進步黨	臺南市 六甲區
3		2	高思博	男	3260	26.55%	中國國民黨	臺南市 六甲區
4		3	林義豐	男	1381	11.25%	無	臺南市 六甲區
5		4	許忠信	男	674	5.49%	無	臺南市 六甲區
6		5	陳永和	男	1022	8.32%	無	臺南市 六甲區
7		6	蘇煥智	男	633	5.16%	無	臺南市 六甲區
2	◎	1	黃偉哲	男	5514	45.37%	民主進步黨	臺南市 官田區
3		2	高思博	男	3107	25.56%	中國國民黨	臺南市 官田區
4		3	林義豐	男	1265	10.41%	無	臺南市 官田區
5		4	許忠信	男	678	5.58%	無	臺南市 官田區
6		5	陳永和	男	1025	8.43%	無	臺南市 官田區
7		6	蘇煥智	男	565	4.65%	無	臺南市 官田區
2	◎	1	黃偉哲	男	2271	39.13%	民主進步黨	臺南市 大內區
3		2	高思博	男	1687	29.07%	中國國民黨	臺南市 大內區
4		3	林義豐	男	673	11.60%	無	臺南市 大內區
5		4	許忠信	男	397	6.84%	無	臺南市 大內區
6		5	陳永和	男	481	8.29%	無	臺南市 大內區
7		6	蘇煥智	男	295	5.08%	無	臺南市 大內區
2	◎	1	黃偉哲	男	12783	40.53%	民主進步黨	臺南市 佳里區
3		2	高思博	男	9178	29.10%	中國國民黨	臺南市 佳里區
4		3	林義豐	男	3005	9.53%	無	臺南市 佳里區
5		4	許忠信	男	2001	6.34%	無	臺南市 佳里區
6		5	陳永和	男	3366	10.67%	無	臺南市 佳里區
7		6	蘇煥智	男	1205	3.82%	無	臺南市 佳里區
2	◎	1	黃偉哲	男	6509	47.08%	民主進步黨	臺南市 學甲區
3		2	高思博	男	3860	27.92%	中國國民黨	臺南市 學甲區
4		3	林義豐	男	1228	8.88%	無	臺南市 學甲區
5		4	許忠信	男	570	4.12%	無	臺南市 學甲區
6		5	陳永和	男	1107	8.01%	無	臺南市 學甲區
7		6	蘇煥智	男	552	3.99%	無	臺南市 學甲區
2	◎	1	黃偉哲	男	6041	43.79%	民主進步黨	臺南市 西港區
3		2	高思博	男	3593	26.05%	中國國民黨	臺南市 西港區
4		3	林義豐	男	1387	10.06%	無	臺南市 西港區
5		4	許忠信	男	722	5.23%	無	臺南市 西港區
6		5	陳永和	男	1536	11.14%	無	臺南市 西港區
7		6	蘇煥智	男	515	3.73%	無	臺南市 西港區
2	◎	1	黃偉哲	男	5670	43.39%	民主進步黨	臺南市 七股區
3		2	高思博	男	3251	24.88%	中國國民黨	臺南市 七股區
4		3	林義豐	男	1347	10.31%	無	臺南市 七股區
