	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2		1	鄺麗貞	女	994	1.78%	無	臺東縣 臺東市
3		2	劉櫂豪	男	22681	40.72%	民主進步黨	臺東縣 臺東市
4		3	黃裕斌	男	282	0.51%	無	臺東縣 臺東市
5		4	彭權國	男	525	0.94%	無	臺東縣 臺東市
6	◎	5	饒慶鈴	女	31213	56.04%	中國國民黨	臺東縣 臺東市
2		1	鄺麗貞	女	251	3.41%	無	臺東縣 成功鎮
3		2	劉櫂豪	男	2536	34.41%	民主進步黨	臺東縣 成功鎮
4		3	黃裕斌	男	43	0.58%	無	臺東縣 成功鎮
5		4	彭權國	男	59	0.80%	無	臺東縣 成功鎮
6	◎	5	饒慶鈴	女	4481	60.80%	中國國民黨	臺東縣 成功鎮
2		1	鄺麗貞	女	120	2.37%	無	臺東縣 關山鎮
3		2	劉櫂豪	男	1779	35.12%	民主進步黨	臺東縣 關山鎮
4		3	黃裕斌	男	28	0.55%	無	臺東縣 關山鎮
5		4	彭權國	男	44	0.87%	無	臺東縣 關山鎮
6	◎	5	饒慶鈴	女	3094	61.09%	中國國民黨	臺東縣 關山鎮
2		1	鄺麗貞	女	227	2.36%	無	臺東縣 卑南鄉
3		2	劉櫂豪	男	3583	37.28%	民主進步黨	臺東縣 卑南鄉
4		3	黃裕斌	男	37	0.39%	無	臺東縣 卑南鄉
5		4	彭權國	男	64	0.67%	無	臺東縣 卑南鄉
6	◎	5	饒慶鈴	女	5699	59.30%	中國國民黨	臺東縣 卑南鄉
2		1	鄺麗貞	女	134	2.93%	無	臺東縣 鹿野鄉
3		2	劉櫂豪	男	1992	43.50%	民主進步黨	臺東縣 鹿野鄉
4		3	黃裕斌	男	33	0.72%	無	臺東縣 鹿野鄉
5		4	彭權國	男	35	0.76%	無	臺東縣 鹿野鄉
6	◎	5	饒慶鈴	女	2385	52.09%	中國國民黨	臺東縣 鹿野鄉
2		1	鄺麗貞	女	103	2.32%	無	臺東縣 池上鄉
3		2	劉櫂豪	男	1704	38.40%	民主進步黨	臺東縣 池上鄉
4		3	黃裕斌	男	23	0.52%	無	臺東縣 池上鄉
5		4	彭權國	男	19	0.43%	無	臺東縣 池上鄉
6	◎	5	饒慶鈴	女	2588	58.33%	中國國民黨	臺東縣 池上鄉
2		1	鄺麗貞	女	160	3.40%	無	臺東縣 東河鄉
3		2	劉櫂豪	男	1687	35.83%	民主進步黨	臺東縣 東河鄉
4		3	黃裕斌	男	31	0.66%	無	臺東縣 東河鄉
5		4	彭權國	男	48	1.02%	無	臺東縣 東河鄉
6	◎	5	饒慶鈴	女	2782	59.09%	中國國民黨	臺東縣 東河鄉
2		1	鄺麗貞	女	186	4.79%	無	臺東縣 長濱鄉
3		2	劉櫂豪	男	1293	33.32%	民主進步黨	臺東縣 長濱鄉
4		3	黃裕斌	男	25	0.64%	無	臺東縣 長濱鄉
5		4	彭權國	男	29	0.75%	無	臺東縣 長濱鄉
6	◎	5	饒慶鈴	女	2347	60.49%	中國國民黨	臺東縣 長濱鄉
2		1	鄺麗貞	女	164	2.46%	無	臺東縣 太麻里鄉
3		2	劉櫂豪	男	2184	32.75%	民主進步黨	臺東縣 太麻里鄉
4		3	黃裕斌	男	33	0.49%	無	臺東縣 太麻里鄉
5		4	彭權國	男	37	0.55%	無	臺東縣 太麻里鄉
6	◎	5	饒慶鈴	女	4251	63.74%	中國國民黨	臺東縣 太麻里鄉
2		1	鄺麗貞	女	126	3.47%	無	臺東縣 大武鄉
3		2	劉櫂豪	男	1172	32.27%	民主進步黨	臺東縣 大武鄉
4		3	黃裕斌	男	23	0.63%	無	臺東縣 大武鄉
5		4	彭權國	男	29	0.80%	無	臺東縣 大武鄉
6	◎	5	饒慶鈴	女	2282	62.83%	中國國民黨	臺東縣 大武鄉
2		1	鄺麗貞	女	48	2.06%	無	臺東縣 綠島鄉
3		2	劉櫂豪	男	719	30.81%	民主進步黨	臺東縣 綠島鄉
4		3	黃裕斌	男	5	0.21%	無	臺東縣 綠島鄉
5		4	彭權國	男	26	1.11%	無	臺東縣 綠島鄉
6	◎	5	饒慶鈴	女	1536	65.81%	中國國民黨	臺東縣 綠島鄉
2		1	鄺麗貞	女	68	3.06%	無	臺東縣 海端鄉
3		2	劉櫂豪	男	467	21.04%	民主進步黨	臺東縣 海端鄉
4		3	黃裕斌	男	9	0.41%	無	臺東縣 海端鄉
5		4	彭權國	男	15	0.68%	無	臺東縣 海端鄉
6	◎	5	饒慶鈴	女	1661	74.82%	中國國民黨	臺東縣 海端鄉
2		1	鄺麗貞	女	104	4.58%	無	臺東縣 延平鄉
3		2	劉櫂豪	男	460	20.25%	民主進步黨	臺東縣 延平鄉
4		3	黃裕斌	男	20	0.88%	無	臺東縣 延平鄉
5		4	彭權國	男	11	0.48%	無	臺東縣 延平鄉
6	◎	5	饒慶鈴	女	1677	73.81%	中國國民黨	臺東縣 延平鄉
2		1	鄺麗貞	女	60	2.45%	無	臺東縣 金峰鄉
3		2	劉櫂豪	男	606	24.75%	民主進步黨	臺東縣 金峰鄉
4		3	黃裕斌	男	6	0.25%	無	臺東縣 金峰鄉
5		4	彭權國	男	6	0.25%	無	臺東縣 金峰鄉
6	◎	5	饒慶鈴	女	1770	72.30%	中國國民黨	臺東縣 金峰鄉
2		1	鄺麗貞	女	97	3.93%	無	臺東縣 達仁鄉
3		2	劉櫂豪	男	641	25.95%	民主進步黨	臺東縣 達仁鄉
4		3	黃裕斌	男	16	0.65%	無	臺東縣 達仁鄉
5		4	彭權國	男	9	0.36%	無	臺東縣 達仁鄉
6	◎	5	饒慶鈴	女	1707	69.11%	中國國民黨	臺東縣 達仁鄉
2		1	鄺麗貞	女	207	9.72%	無	臺東縣 蘭嶼鄉
3		2	劉櫂豪	男	760	35.70%	民主進步黨	臺東縣 蘭嶼鄉
4		3	黃裕斌	男	26	1.22%	無	臺東縣 蘭嶼鄉
5		4	彭權國	男	32	1.50%	無	臺東縣 蘭嶼鄉
6	◎	5	饒慶鈴	女	1104	51.86%	中國國民黨	臺東縣 蘭嶼鄉
