	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2	◎	1	林明溱	男	39008	68.02%	中國國民黨	南投縣 南投市
3		2	洪國浩	男	18342	31.98%	民主進步黨	南投縣 南投市
2	◎	1	林明溱	男	31617	70.04%	中國國民黨	南投縣 埔里鎮
3		2	洪國浩	男	13527	29.96%	民主進步黨	南投縣 埔里鎮
2	◎	1	林明溱	男	29774	53.79%	中國國民黨	南投縣 草屯鎮
3		2	洪國浩	男	25582	46.21%	民主進步黨	南投縣 草屯鎮
2	◎	1	林明溱	男	21162	68.00%	中國國民黨	南投縣 竹山鎮
3		2	洪國浩	男	9960	32.00%	民主進步黨	南投縣 竹山鎮
2	◎	1	林明溱	男	4774	68.63%	中國國民黨	南投縣 集集鎮
3		2	洪國浩	男	2182	31.37%	民主進步黨	南投縣 集集鎮
2	◎	1	林明溱	男	15432	64.75%	中國國民黨	南投縣 名間鄉
3		2	洪國浩	男	8400	35.25%	民主進步黨	南投縣 名間鄉
2	◎	1	林明溱	男	8156	72.48%	中國國民黨	南投縣 鹿谷鄉
3		2	洪國浩	男	3096	27.52%	民主進步黨	南投縣 鹿谷鄉
2	◎	1	林明溱	男	6940	70.31%	中國國民黨	南投縣 中寮鄉
3		2	洪國浩	男	2931	29.69%	民主進步黨	南投縣 中寮鄉
2	◎	1	林明溱	男	6810	68.99%	中國國民黨	南投縣 魚池鄉
3		2	洪國浩	男	3061	31.01%	民主進步黨	南投縣 魚池鄉
2	◎	1	林明溱	男	8152	68.21%	中國國民黨	南投縣 國姓鄉
3		2	洪國浩	男	3799	31.79%	民主進步黨	南投縣 國姓鄉
2	◎	1	林明溱	男	7621	69.89%	中國國民黨	南投縣 水里鄉
3		2	洪國浩	男	3284	30.11%	民主進步黨	南投縣 水里鄉
2	◎	1	林明溱	男	7902	80.96%	中國國民黨	南投縣 信義鄉
3		2	洪國浩	男	1858	19.04%	民主進步黨	南投縣 信義鄉
2	◎	1	林明溱	男	8037	84.82%	中國國民黨	南投縣 仁愛鄉
3		2	洪國浩	男	1438	15.18%	民主進步黨	南投縣 仁愛鄉
