"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第11案","全國","","7,083,379","3,419,624","10,503,003","507,101","11,010,104","19,757,067","55.73%","35.85%","17.31%",18.54,0.6744,NA,NA,NA
"2","第11案","連江縣","","4,131","1,461","5,592","195","5,787","11,205","51.65%","36.87%","13.04%",23.83,0.7387,NA,NA,NA
"3","第11案","連江縣","南竿鄉","2,385","796","3,181","104","3,285","6,461","50.84%","36.91%","12.32%",24.59,0.7498,0.6212,2594,0.1286
"4","第11案","連江縣","北竿鄉","802","270","1,072","38","1,110","2,125","52.24%","37.74%","12.71%",25.03,0.7481,0.7738,1139,-0.0256999999999999
"5","第11案","連江縣","莒光鄉","544","225","769","37","806","1,481","54.42%","36.73%","15.19%",21.54,0.7074,0.6716,732,0.0358000000000001
"6","第11案","連江縣","東引鄉","400","170","570","16","586","1,138","51.49%","35.15%","14.94%",20.21,0.7018,0.591,396,0.1108
"7","第11案","金門縣","","30,593","11,206","41,799","2,129","43,928","122,695","35.8%","24.93%","9.13%",15.8,0.7319,NA,NA,NA
"8","第11案","金門縣","金城鎮","9,373","3,247","12,620","626","13,246","37,815","35.03%","24.79%","8.59%",16.2,0.7427,0.5428,8137,0.1999
"9","第11案","金門縣","金沙鎮","4,856","1,367","6,223","350","6,573","18,560","35.41%","26.16%","7.37%",18.79,0.7803,0.3856,2974,0.3947
"10","第11案","金門縣","金湖鎮","6,676","2,333","9,009","485","9,494","25,915","36.64%","25.76%","9.00%",16.76,0.741,0.3907,4204,0.3503
"11","第11案","金門縣","金寧鄉","6,500","3,260","9,760","435","10,195","28,162","36.2%","23.08%","11.58%",11.5,0.666,0.5492,5989,0.1168
"12","第11案","金門縣","烈嶼鄉","3,063","965","4,028","227","4,255","11,676","36.44%","26.23%","8.26%",17.97,0.7604,0.4628,2154,0.2976
"13","第11案","金門縣","烏坵鄉","125","34","159","6","165","567","29.1%","22.05%","6.00%",16.05,0.7862,0.2967,62,0.4895
