"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","不同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投不同意率對縣市首長得票率差距"
"1","第13案","全國","","4,763,086","5,774,556","10,537,642","505,153","11,042,795","19,757,067","55.89%","24.11%","29.23%",-5.12,0.548,NA,NA,NA
"2","第13案","連江縣","","1,176","4,390","5,566","190","5,756","11,205","51.37%","10.5%","39.18%",-28.68,0.7887,NA,NA,NA
"3","第13案","連江縣","南竿鄉","658","2,524","3,182","106","3,288","6,461","50.89%","10.18%","39.07%",-28.89,0.7932,0.6212,2594,0.172
"4","第13案","連江縣","北竿鄉","215","853","1,068","38","1,106","2,125","52.05%","10.12%","40.14%",-30.02,0.7987,0.7738,1139,0.0249
"5","第13案","連江縣","莒光鄉","181","582","763","25","788","1,481","53.21%","12.22%","39.30%",-27.08,0.7628,0.6716,732,0.0912000000000001
"6","第13案","連江縣","東引鄉","122","431","553","21","574","1,138","50.44%","10.72%","37.87%",-27.15,0.7794,0.591,396,0.1884
"7","第13案","金門縣","","9,644","32,014","41,658","2,263","43,921","122,695","35.8%","7.86%","26.09%",-18.23,0.7685,NA,NA,NA
"8","第13案","金門縣","金城鎮","2,880","9,719","12,599","642","13,241","37,815","35.02%","7.62%","25.70%",-18.08,0.7714,0.5428,8137,0.2286
"9","第13案","金門縣","金沙鎮","1,336","4,889","6,225","348","6,573","18,560","35.41%","7.2%","26.34%",-19.14,0.7854,0.3856,2974,0.3998
"10","第13案","金門縣","金湖鎮","2,089","6,851","8,940","575","9,515","25,915","36.72%","8.06%","26.44%",-18.38,0.7663,0.3907,4204,0.3756
"11","第13案","金門縣","金寧鄉","2,506","7,185","9,691","483","10,174","28,162","36.13%","8.9%","25.51%",-16.61,0.7414,0.5492,5989,0.1922
"12","第13案","金門縣","烈嶼鄉","790","3,255","4,045","207","4,252","11,676","36.42%","6.77%","27.88%",-21.11,0.8047,0.4628,2154,0.3419
"13","第13案","金門縣","烏坵鄉","43","115","158","8","166","567","29.28%","7.58%","20.28%",-12.7,0.7278,0.2967,62,0.4311
"14","第13案","宜蘭縣","","102,924","101,242","204,166","11,719","215,885","386,089","55.92%","26.66%","26.22%",0.44,0.4959,NA,NA,NA
"15","第13案","宜蘭縣","宜蘭市","20,491","22,551","43,042","2,110","45,152","79,167","57.03%","25.88%","28.49%",-2.61,0.5239,0.4845,23891,0.0394
"16","第13案","宜蘭縣","羅東鎮","15,860","15,867","31,727","1,586","33,313","57,686","57.75%","27.49%","27.51%",-0.02,0.5001,0.5271,18457,-0.027
"17","第13案","宜蘭縣","蘇澳鎮","9,632","8,737","18,369","1,205","19,574","34,512","56.72%","27.91%","25.32%",2.59,0.4756,0.4944,11341,-0.0187999999999999
"18","第13案","宜蘭縣","頭城鎮","6,302","6,628","12,930","933","13,863","25,135","55.15%","25.07%","26.37%",-1.3,0.5126,0.549,9405,-0.0364
"19","第13案","宜蘭縣","礁溪鄉","8,420","7,666","16,086","880","16,966","31,084","54.58%","27.09%","24.66%",2.43,0.4766,0.4591,9698,0.0175000000000001
"20","第13案","宜蘭縣","壯圍鄉","6,448","5,286","11,734","804","12,538","21,447","58.46%","30.06%","24.65%",5.41,0.4505,0.4566,6978,-0.00609999999999994
"21","第13案","宜蘭縣","員山鄉","7,425","6,801","14,226","1,088","15,314","28,131","54.44%","26.39%","24.18%",2.21,0.4781,0.4278,7844,0.0503
"22","第13案","宜蘭縣","冬山鄉","12,475","11,161","23,636","1,144","24,780","45,405","54.58%","27.47%","24.58%",2.89,0.4722,0.4583,13141,0.0139
"23","第13案","宜蘭縣","五結鄉","9,229","8,750","17,979","944","18,923","34,892","54.23%","26.45%","25.08%",1.37,0.4867,0.4707,10354,0.016
"24","第13案","宜蘭縣","三星鄉","5,141","4,384","9,525","602","10,127","19,051","53.16%","26.99%","23.01%",3.98,0.4603,0.4748,6053,-0.0145
"25","第13案","宜蘭縣","大同鄉","829","1,487","2,316","244","2,560","4,935","51.87%","16.8%","30.13%",-13.33,0.6421,0.8602,3360,-0.2181
"26","第13案","宜蘭縣","南澳鄉","672","1,924","2,596","179","2,775","4,644","59.75%","14.47%","41.43%",-26.96,0.7411,0.8873,3245,-0.1462
"27","第13案","新竹縣","","89,171","151,859","241,030","11,356","252,386","445,051","56.71%","20.04%","34.12%",-14.08,0.63,NA,NA,NA
"28","第13案","新竹縣","竹北市","30,388","46,425","76,813","3,079","79,892","137,129","58.26%","22.16%","33.85%",-11.69,0.6044,0.335,27664,0.2694
"29","第13案","新竹縣","竹東鎮","13,976","26,778","40,754","1,936","42,690","78,794","54.18%","17.74%","33.98%",-16.24,0.6571,0.4205,19629,0.2366
"30","第13案","新竹縣","新埔鎮","5,618","9,947","15,565","787","16,352","28,894","56.59%","19.44%","34.43%",-14.99,0.6391,0.3599,6982,0.2792
"31","第13案","新竹縣","關西鎮","4,766","8,586","13,352","735","14,087","24,712","57%","19.29%","34.74%",-15.45,0.643,0.357,6017,0.286
