"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第7案","全國","","7,955,753","2,109,157","10,064,910","715,140","10,780,050","19,757,067","54.56%","40.27%","10.68%",29.59,0.7904,NA,NA,NA
"2","第7案","連江縣","","4,843","655","5,498","235","5,733","11,205","51.16%","43.22%","5.85%",37.37,0.8809,NA,NA,NA
"3","第7案","連江縣","南竿鄉","2,773","367","3,140","133","3,273","6,461","50.66%","42.92%","5.68%",37.24,0.8831,0.6212,2594,0.2619
"4","第7案","連江縣","北竿鄉","914","141","1,055","47","1,102","2,125","51.86%","43.01%","6.64%",36.37,0.8664,0.7738,1139,0.0926
"5","第7案","連江縣","莒光鄉","644","95","739","40","779","1,481","52.6%","43.48%","6.41%",37.07,0.8714,0.6716,732,0.1998
"6","第7案","連江縣","東引鄉","512","52","564","15","579","1,138","50.88%","44.99%","4.57%",40.42,0.9078,0.591,396,0.3168
"7","第7案","金門縣","","35,436","6,045","41,481","2,336","43,817","122,695","35.71%","28.88%","4.93%",23.95,0.8543,NA,NA,NA
"8","第7案","金門縣","金城鎮","10,725","1,824","12,549","634","13,183","37,815","34.86%","28.36%","4.82%",23.54,0.8546,0.5428,8137,0.3118
"9","第7案","金門縣","金沙鎮","5,261","868","6,129","431","6,560","18,560","35.34%","28.35%","4.68%",23.67,0.8584,0.3856,2974,0.4728
"10","第7案","金門縣","金湖鎮","7,615","1,324","8,939","545","9,484","25,915","36.6%","29.38%","5.11%",24.27,0.8519,0.3907,4204,0.4612
"11","第7案","金門縣","金寧鄉","8,151","1,507","9,658","503","10,161","28,162","36.08%","28.94%","5.35%",23.59,0.844,0.5492,5989,0.2948
"12","第7案","金門縣","烈嶼鄉","3,546","506","4,052","212","4,264","11,676","36.52%","30.37%","4.33%",26.04,0.8751,0.4628,2154,0.4123
"13","第7案","金門縣","烏坵鄉","138","16","154","11","165","567","29.1%","24.34%","2.82%",21.52,0.8961,0.2967,62,0.5994
"14","第7案","宜蘭縣","","153,113","42,257","195,370","16,537","211,907","386,089","54.89%","39.66%","10.94%",28.72,0.7837,NA,NA,NA
"15","第7案","宜蘭縣","宜蘭市","32,624","8,812","41,436","3,035","44,471","79,167","56.17%","41.21%","11.13%",30.08,0.7873,0.4845,23891,0.3028
"16","第7案","宜蘭縣","羅東鎮","24,091","6,724","30,815","2,259","33,074","57,686","57.33%","41.76%","11.66%",30.1,0.7818,0.5271,18457,0.2547
"17","第7案","宜蘭縣","蘇澳鎮","13,719","3,778","17,497","1,713","19,210","34,512","55.66%","39.75%","10.95%",28.8,0.7841,0.4944,11341,0.2897
"18","第7案","宜蘭縣","頭城鎮","9,800","2,648","12,448","1,309","13,757","25,135","54.73%","38.99%","10.54%",28.45,0.7873,0.549,9405,0.2383
"19","第7案","宜蘭縣","礁溪鄉","11,862","3,428","15,290","1,265","16,555","31,084","53.26%","38.16%","11.03%",27.13,0.7758,0.4591,9698,0.3167
"20","第7案","宜蘭縣","壯圍鄉","8,549","2,410","10,959","1,263","12,222","21,447","56.99%","39.86%","11.24%",28.62,0.7801,0.4566,6978,0.3235
"21","第7案","宜蘭縣","員山鄉","10,584","2,958","13,542","1,477","15,019","28,131","53.39%","37.62%","10.52%",27.1,0.7816,0.4278,7844,0.3538
"22","第7案","宜蘭縣","冬山鄉","17,752","4,886","22,638","1,528","24,166","45,405","53.22%","39.1%","10.76%",28.34,0.7842,0.4583,13141,0.3259
"23","第7案","宜蘭縣","五結鄉","13,493","3,720","17,213","1,321","18,534","34,892","53.12%","38.67%","10.66%",28.01,0.7839,0.4707,10354,0.3132
"24","第7案","宜蘭縣","三星鄉","6,988","2,021","9,009","924","9,933","19,051","52.14%","36.68%","10.61%",26.07,0.7757,0.4748,6053,0.3009
"25","第7案","宜蘭縣","大同鄉","1,644","443","2,087","240","2,327","4,935","47.15%","33.31%","8.98%",24.33,0.7877,0.8602,3360,-0.0725
"26","第7案","宜蘭縣","南澳鄉","2,007","429","2,436","203","2,639","4,644","56.83%","43.22%","9.24%",33.98,0.8239,0.8873,3245,-0.0634000000000001
"27","第7案","新竹縣","","191,602","45,444","237,046","12,685","249,731","445,051","56.11%","43.05%","10.21%",32.84,0.8083,NA,NA,NA
"28","第7案","新竹縣","竹北市","61,066","15,029","76,095","3,506","79,601","137,129","58.05%","44.53%","10.96%",33.57,0.8025,0.335,27664,0.4675
"29","第7案","新竹縣","竹東鎮","32,641","7,500","40,141","2,098","42,239","78,794","53.61%","41.43%","9.52%",31.91,0.8132,0.4205,19629,0.3927
"30","第7案","新竹縣","新埔鎮","12,327","2,899","15,226","971","16,197","28,894","56.06%","42.66%","10.03%",32.63,0.8096,0.3599,6982,0.4497
"31","第7案","新竹縣","關西鎮","10,714","2,451","13,165","803","13,968","24,712","56.52%","43.36%","9.92%",33.44,0.8138,0.357,6017,0.4568
"32","第7案","新竹縣","湖口鄉","27,505","6,227","33,732","1,748","35,480","63,511","55.86%","43.31%","9.80%",33.51,0.8154,0.3987,15866,0.4167
"33","第7案","新竹縣","新豐鄉","19,499","4,612","24,111","1,385","25,496","45,790","55.68%","42.58%","10.07%",32.51,0.8087,0.3397,9826,0.469
"34","第7案","新竹縣","芎林鄉","7,631","1,895","9,526","592","10,118","17,293","58.51%","44.13%","10.96%",33.17,0.8011,0.4007,4876,0.4004
