"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.298752701054745,43.39,0.31147107385401,"民主進步黨"
"2","澎湖縣","七美鄉",0.335836136437035,51.36,0.346113441516677,"中國國民黨"
"3","基隆市","七堵區",0.333613664026727,57.5,0.419802323431779,"民主進步黨"
"4","屏東縣","九如鄉",0.309532688733215,67.75,0.543125182681602,"民主進步黨"
"5","彰化縣","二水鄉",0.298393132061476,49.11,0.392398427893553,"民主進步黨"
"6","彰化縣","二林鎮",0.266887136008631,54.42,0.50957894889998,"中國國民黨"
"7","雲林縣","二崙鄉",0.298615124931096,48.78,0.387832872219976,"民主進步黨"
"8","新北市","八里區",0.342502469299399,54,0.365736167964076,"中國國民黨"
"9","桃園市","八德區",0.31777896735552,54.93,0.421483765964828,"民主進步黨"
"10","高雄市","三民區",0.342880685676414,52.79,0.350481747155875,"中國國民黨"
"11","屏東縣","三地門鄉",0.265463253536865,56.14,0.527140624266361,"中國國民黨"
"12","新北市","三芝區",0.332275579039685,59.4,0.440613503300194,"中國國民黨"
"13","宜蘭縣","三星鄉",0.315129835043355,47.48,0.336289311197651,"中國國民黨"
"14","新北市","三重區",0.363244748960269,50.22,0.276693052647812,"民主進步黨"
"15","新北市","三峽區",0.331620298116046,57.36,0.421861404958079,"中國國民黨"
"16","苗栗縣","三義鄉",0.253303050712346,59.08,0.5712541457137,"中國國民黨"
"17","苗栗縣","三灣鄉",0.244333721500211,67.26,0.636732498512919,"中國國民黨"
"18","臺南市","下營區",0.330492879485165,42.59,0.224012961997735,"民主進步黨"
"19","雲林縣","口湖鄉",0.282086558049391,53.85,0.476162380595374,"中國國民黨"
"20","新北市","土城區",0.352450748422301,56.15,0.372304989452714,"中國國民黨"
"21","雲林縣","土庫鎮",0.300909240257044,58.4,0.484744451614651,"中國國民黨"
"22","臺北市","士林區",0.385990811383436,41.21,0.0633564392539767,"無"
"23","臺南市","大內區",0.282509333223356,39.13,0.278023682025668,"民主進步黨"
"24","臺中市","大甲區",0.296145846679388,54.71,0.458698872821443,"中國國民黨"
"25","臺北市","大同區",0.398721674289517,45.29,0.119625360367594,"無"
"26","宜蘭縣","大同鄉",0.200651303810662,86.02,0.766738777248707,"中國國民黨"
"27","臺中市","大安區",0.277715571611512,56.62,0.509509764020643,"中國國民黨"
"28","臺北市","大安區",0.379380748523853,45.73,0.170389791113377,"中國國民黨"
"29","彰化縣","大村鄉",0.276593633460447,50.73,0.454773046598764,"中國國民黨"
"30","臺中市","大肚區",0.300836481569525,56.1,0.463749587220098,"中國國民黨"
"31","臺中市","大里區",0.30998332251559,54.63,0.432576748095203,"中國國民黨"
"32","嘉義縣","大林鎮",0.295251379990863,45.35,0.348949547980456,"民主進步黨"
"33","臺東縣","大武鄉",0.251854985987041,62.83,0.599148518244404,"中國國民黨"
"34","高雄市","大社區",0.33855532269609,49.52,0.316326085024051,"民主進步黨"
"35","彰化縣","大城鄉",0.241530102847989,50.78,0.524359781709356,"中國國民黨"
"36","嘉義縣","大埔鄉",0.283991391272904,56.07,0.493505633542172,"民主進步黨"
"37","雲林縣","大埤鄉",0.297646823260642,53.96,0.448393581800144,"中國國民黨"
"38","苗栗縣","大湖鄉",0.269058348693288,61.84,0.564912114014735,"中國國民黨"
"39","臺中市","大雅區",0.291737296403111,57.04,0.488539101677576,"中國國民黨"
"40","桃園市","大園區",0.319908941186298,61.42,0.479145325323514,"民主進步黨"
