"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",28.8529166666667,43.39,0.664966966274871,"民主進步黨"
"2","澎湖縣","七美鄉",19.43,51.36,0.378309968847352,"中國國民黨"
"3","基隆市","七堵區",37.4938461538462,57.5,0.652066889632107,"民主進步黨"
"4","屏東縣","九如鄉",36.1992857142857,67.75,0.534306800210859,"民主進步黨"
"5","彰化縣","二水鄉",40.6670588235294,45.79,0.88812096142235,"中國國民黨"
"6","彰化縣","二林鎮",36.4928205128205,54.42,0.670577370687624,"中國國民黨"
"7","雲林縣","二崙鄉",30.1804347826087,47.22,0.639145166933687,"中國國民黨"
"8","新北市","八里區",38.0745,54,0.705083333333333,"中國國民黨"
"9","桃園市","八德區",37.6117821782178,54.93,0.684722049485123,"民主進步黨"
"10","高雄市","三民區",41.5677777777778,52.79,0.787417650649323,"中國國民黨"
"12","新北市","三芝區",32.935,59.4,0.55446127946128,"中國國民黨"
"13","宜蘭縣","三星鄉",35.0390476190476,47.48,0.737974886669074,"中國國民黨"
"14","新北市","三重區",38.858170212766,49.78,0.780598035612012,"中國國民黨"
"15","新北市","三峽區",37.5844285714286,57.36,0.655237597130903,"中國國民黨"
"16","苗栗縣","三義鄉",44.578125,59.08,0.754538337846987,"中國國民黨"
"17","苗栗縣","三灣鄉",38.8744444444444,67.26,0.577972709551657,"中國國民黨"
"18","臺南市","下營區",30.8252631578947,42.59,0.723767625214715,"民主進步黨"
"19","雲林縣","口湖鄉",29.3164,53.85,0.544408542246982,"中國國民黨"
"20","新北市","土城區",39.1682394366197,56.15,0.697564371088508,"中國國民黨"
"21","雲林縣","土庫鎮",34.4493103448276,58.4,0.589885451110061,"中國國民黨"
"22","臺北市","士林區",39.6646625766871,41.21,0.962500911834194,"無"
"23","臺南市","大內區",31.18,39.13,0.796831075900843,"民主進步黨"
"24","臺中市","大甲區",41.8898148148148,54.71,0.765670166602354,"中國國民黨"
"25","臺北市","大同區",39.3926829268293,45.29,0.869787655703892,"無"
"26","宜蘭縣","大同鄉",32.553,86.02,0.378435247616833,"中國國民黨"
"27","臺中市","大安區",41.50875,56.62,0.733111091487107,"中國國民黨"
"28","臺北市","大安區",41.8668617021277,38.53,1.08660424869265,"無"
"29","彰化縣","大村鄉",42.0225925925926,50.73,0.82835782756934,"中國國民黨"
"30","臺中市","大肚區",42.7981818181818,56.1,0.762890941500567,"中國國民黨"
"31","臺中市","大里區",41.2016981132075,54.63,0.75419546244202,"中國國民黨"
"32","嘉義縣","大林鎮",34.1812,45.35,0.753719955898567,"民主進步黨"
"33","臺東縣","大武鄉",28.9,62.83,0.459971351265319,"中國國民黨"
"34","高雄市","大社區",38.91125,48.89,0.795893843321743,"中國國民黨"
"35","彰化縣","大城鄉",25.4505882352941,50.78,0.50119315154183,"中國國民黨"
"36","嘉義縣","大埔鄉",36.5877777777778,56.07,0.652537502724769,"民主進步黨"
"37","雲林縣","大埤鄉",33.3438888888889,53.96,0.617937155094309,"中國國民黨"
"38","苗栗縣","大湖鄉",37.8493333333333,61.84,0.612052608883139,"中國國民黨"
"39","臺中市","大雅區",43.2619565217391,57.04,0.758449448137081,"中國國民黨"
"40","桃園市","大園區",35.926,61.42,0.584923477694562,"民主進步黨"
"41","桃園市","大溪區",37.1481355932203,60.25,0.616566565862578,"民主進步黨"
"42","高雄市","大寮區",39.9975308641975,52.17,0.76667684232696,"中國國民黨"
"43","高雄市","大樹區",37.80375,48.33,0.782200496585971,"中國國民黨"
"44","高雄市","小港區",41.8707865168539,51.7,0.809879816573577,"中國國民黨"
"45","臺南市","山上區",28.4688888888889,37.37,0.761811316266762,"民主進步黨"
"46","基隆市","中山區",36.6497142857143,54.49,0.672595233725716,"民主進步黨"
"47","臺北市","中山區",40.4724812030075,41.55,0.974066936293803,"無"
"48","基隆市","中正區",34.0554285714286,52.79,0.645111357670554,"民主進步黨"
"49","臺北市","中正區",42.493125,41.65,1.0202430972389,"無"
"50","臺南市","中西區",37.4621153846154,37.54,0.997925289947133,"民主進步黨"
"51","新北市","中和區",41.6879918032787,63.31,0.658474045226326,"中國國民黨"
"52","嘉義縣","中埔鄉",31.3911764705882,48.74,0.644053682203288,"民主進步黨"
"53","臺中市","中區",39.55,53.29,0.74216550947645,"中國國民黨"
"54","南投縣","中寮鄉",40.4516666666667,70.31,0.575333048878775,"中國國民黨"
"55","桃園市","中壢區",40.3474285714286,48.8,0.826791569086651,"民主進步黨"
"56","新北市","五股區",37.7079166666667,52.23,0.721958963558619,"中國國民黨"
"57","新竹縣","五峰鄉",28.8483333333333,45.33,0.636407088756526,"中國國民黨"
"58","宜蘭縣","五結鄉",37.9815151515152,47.07,0.806915554525497,"中國國民黨"
"59","高雄市","仁武區",41.5327659574468,51.4,0.808030466098187,"中國國民黨"
"60","基隆市","仁愛區",37.8102857142857,55.87,0.676754711191797,"民主進步黨"
"61","南投縣","仁愛鄉",37.772,84.82,0.445319500117897,"中國國民黨"
"62","臺南市","仁德區",37.0475510204082,36.41,1.0175103273938,"民主進步黨"
"63","雲林縣","元長鄉",26.5308,53.11,0.49954434193184,"中國國民黨"
"64","高雄市","內門區",30.2716666666667,53.81,0.562565818001611,"中國國民黨"
"65","屏東縣","內埔鄉",32.2605,61.3,0.526272430668842,"民主進步黨"
"66","臺北市","內湖區",42.7838666666667,43.7,0.979035850495805,"無"
"67","苗栗縣","公館鄉",42.7810714285714,61.4,0.696760120986505,"中國國民黨"
"68","臺南市","六甲區",31.8694736842105,43.24,0.737036856711622,"民主進步黨"
"69","嘉義縣","六腳鄉",26.0883333333333,60.65,0.430145644407804,"民主進步黨"
"70","高雄市","六龜區",30.5183333333333,54.29,0.562135445447289,"中國國民黨"
"71","臺中市","太平區",40.6010752688172,56.62,0.717080100120403,"中國國民黨"
"72","嘉義縣","太保市",35.2612121212121,51.8,0.680718380718381,"民主進步黨"
"74","臺北市","文山區",44.2908641975309,38.83,1.14063518407239,"無"
"75","雲林縣","斗六市",42.1549275362319,55.08,0.765340006104428,"中國國民黨"
"76","雲林縣","斗南鎮",39.5084848484848,52.06,0.758902897589029,"中國國民黨"
"77","嘉義縣","水上鄉",35.9541025641026,50.45,0.712668038931666,"民主進步黨"
"78","南投縣","水里鄉",38.93,69.89,0.557018171412219,"中國國民黨"
"79","雲林縣","水林鄉",27.2657692307692,46.07,0.591833497520496,"中國國民黨"
"80","宜蘭縣","冬山鄉",38.2674358974359,45.83,0.834986600424087,"中國國民黨"
"81","臺中市","北屯區",43.4532116788321,60.67,0.716222378091843,"中國國民黨"
"82","彰化縣","北斗鎮",41.633,49.47,0.841580756013746,"中國國民黨"
"83","臺北市","北投區",40.2041843971631,41.8,0.961822593233567,"無"
"84","臺南市","北門區",27.1094444444444,42.63,0.635924101441343,"民主進步黨"
"85","連江縣","北竿鄉",41.45,77.38,0.535668131300078,"中國國民黨"
"86","新竹縣","北埔鄉",41.717,46.27,0.901599308407175,"中國國民黨"
"87","新竹市","北區",41.0215238095238,48.23,0.850539577224213,"民主進步黨"
"88","臺中市","北區",42.0058620689655,59.67,0.703969533584138,"中國國民黨"
"89","臺南市","北區",37.6088888888889,34.49,1.09042878773235,"民主進步黨"
"90","雲林縣","北港鎮",36.4209756097561,49.22,0.739962933964976,"中國國民黨"
"91","雲林縣","古坑鄉",35.0711111111111,54.35,0.645282633139119,"中國國民黨"
"92","雲林縣","四湖鄉",25.3296,51.31,0.493658156304814,"中國國民黨"
"93","臺中市","外埔區",44.0535,60.07,0.733369402363909,"中國國民黨"
"94","高雄市","左營區",43.8129126213592,61.99,0.706773876776242,"中國國民黨"
"95","臺南市","左鎮區",27.553,41.8,0.659162679425837,"民主進步黨"
"96","嘉義縣","布袋鎮",31.9724137931034,54.47,0.586972898716788,"民主進步黨"
"97","新北市","平溪區",32.3608333333333,53.28,0.607372997997998,"中國國民黨"
"98","桃園市","平鎮區",40.39968,51.77,0.780368553216148,"民主進步黨"
"99","嘉義縣","民雄鄉",36.2953333333333,44.72,0.811612999403697,"民主進步黨"
"100","高雄市","永安區",41.9575,49.62,0.845576380491737,"中國國民黨"
"101","新北市","永和區",44.4139855072464,67.46,0.658375118696211,"中國國民黨"
"102","臺南市","永康區",36.8123943661972,34.7,1.06087591833421,"民主進步黨"
"103","彰化縣","永靖鄉",42.2055882352941,46.77,0.902407274648153,"中國國民黨"
"104","臺南市","玉井區",32.79875,32.54,1.00795175169023,"民主進步黨"
"105","花蓮縣","玉里鎮",30.8291304347826,76.13,0.404953769010674,"中國國民黨"
"106","彰化縣","田中鎮",39.3980555555556,49.06,0.803058613036192,"中國國民黨"
"107","彰化縣","田尾鄉",41.8188,49.86,0.838724428399519,"中國國民黨"
"108","高雄市","田寮區",29.6941666666667,43.58,0.681371424200704,"中國國民黨"
"109","高雄市","甲仙區",31.9685714285714,60.17,0.531304162017142,"中國國民黨"
"110","澎湖縣","白沙鄉",31.0433333333333,38.13,0.814144593058834,"中國國民黨"
"111","臺南市","白河區",27.1003125,46.44,0.583555394056848,"民主進步黨"
"112","臺中市","石岡區",42.464,59.43,0.71452128554602,"中國國民黨"
"113","新北市","石門區",35.846,58.7,0.610664395229983,"中國國民黨"
"114","新北市","石碇區",33.7030769230769,47.73,0.706119357282148,"中國國民黨"
"115","花蓮縣","光復鄉",32.2952941176471,77.36,0.417467607518706,"中國國民黨"
"116","花蓮縣","吉安鄉",39.5405084745763,68.51,0.577149444965352,"中國國民黨"
"117","南投縣","名間鄉",42.2927027027027,64.75,0.653169153709694,"中國國民黨"
"118","臺中市","后里區",42.2994594594595,57.18,0.739759696737661,"中國國民黨"
"119","臺南市","安平區",35.4153125,34.24,1.03432571553738,"民主進步黨"
"120","臺南市","安定區",36.4316666666667,40.09,0.908746985948283,"民主進步黨"
"121","臺南市","安南區",36.1944444444444,38.42,0.942072994389496,"民主進步黨"
"122","基隆市","安樂區",38.4087755102041,54.96,0.698849627187119,"民主進步黨"
"123","新竹縣","尖石鄉",31.658,51.39,0.616034247908153,"中國國民黨"
"124","臺東縣","成功鎮",30.5182352941176,60.8,0.501944659442724,"中國國民黨"
"125","嘉義縣","朴子市",35.428,53.77,0.658880416589176,"民主進步黨"
"126","新北市","汐止區",38.6520720720721,61.28,0.630745301437207,"中國國民黨"
"127","臺東縣","池上鄉",29.4575,58.33,0.505014572261272,"中國國民黨"
"128","南投縣","竹山鎮",38.9356603773585,68,0.572583240843507,"中國國民黨"
"129","新竹縣","竹北市",44.4543689320388,33.5,1.32699608752355,"中國國民黨"
"130","屏東縣","竹田鄉",39.1075,61.83,0.632500404334466,"民主進步黨"
"131","新竹縣","竹東鎮",40.5420833333333,42.05,0.96413991280222,"中國國民黨"
"132","苗栗縣","竹南鎮",41.5470491803279,54.16,0.767116860788919,"中國國民黨"
"133","嘉義縣","竹崎鄉",33.2125,42.08,0.789270437262357,"民主進步黨"
"134","彰化縣","竹塘鄉",35.093125,46.23,0.759098529093662,"中國國民黨"
"135","臺中市","西屯區",43.7344166666667,60.3,0.725280541735766,"中國國民黨"
"136","嘉義市","西區",38.7097916666667,39.21,0.987242837711468,"中國國民黨"
"137","臺中市","西區",42.7674242424242,56.11,0.762206812376123,"中國國民黨"
"138","臺南市","西港區",31.6205,43.79,0.722094085407627,"民主進步黨"
"139","苗栗縣","西湖鄉",40.6555555555556,60.1,0.676465150674801,"中國國民黨"
"140","澎湖縣","西嶼鄉",19.4025,38.54,0.503437986507525,"中國國民黨"
"141","雲林縣","西螺鎮",36.2088235294118,46.89,0.772207795466235,"中國國民黨"
"142","彰化縣","伸港鄉",41.1664285714286,62.3,0.660777344645723,"中國國民黨"
"143","宜蘭縣","壯圍鄉",38.2086956521739,45.66,0.836808927993297,"中國國民黨"
"144","高雄市","杉林區",28.818,56.45,0.510504871567759,"中國國民黨"
"145","臺中市","沙鹿區",42.7254716981132,55.63,0.768029331262146,"中國國民黨"
"146","屏東縣","牡丹鄉",27.6457142857143,42.46,0.651100195141646,"民主進步黨"
"147","彰化縣","秀水鄉",42.41625,58.9,0.720140067911715,"中國國民黨"
"148","花蓮縣","秀林鄉",33.2357142857143,80.55,0.412609736632083,"中國國民黨"
"149","新竹縣","芎林鄉",43.4236842105263,40.07,1.08369563789684,"中國國民黨"
"150","屏東縣","車城鄉",26.5661538461538,64.93,0.409150682984042,"民主進步黨"
"152","屏東縣","里港鄉",35.6255,62.71,0.568099186732579,"民主進步黨"
"153","屏東縣","佳冬鄉",33.02125,61.32,0.538507012393999,"民主進步黨"
"154","臺南市","佳里區",35.9139024390244,40.53,0.886106647891053,"民主進步黨"
"155","屏東縣","來義鄉",40.2555555555556,42.42,0.948975849965949,"民主進步黨"
"156","臺東縣","卑南鄉",33.4313636363636,59.3,0.56376667177679,"中國國民黨"
"157","花蓮縣","卓溪鄉",36.268,88.1,0.4116685584563,"中國國民黨"
"158","苗栗縣","卓蘭鎮",41.8026315789474,61.94,0.674889111704026,"中國國民黨"
"159","臺中市","和平區",44.1094117647059,70.15,0.628787052953754,"中國國民黨"
"160","彰化縣","和美鎮",41.5636764705882,59.04,0.70399181013869,"中國國民黨"
"161","新北市","坪林區",32.313,44.54,0.725482712168837,"中國國民黨"
"162","臺南市","官田區",31.0295,45.37,0.683921093233414,"民主進步黨"
"163","宜蘭縣","宜蘭市",40.6715384615385,48.45,0.839453838215448,"中國國民黨"
"164","高雄市","岡山區",44.5505555555556,54.93,0.81104233671137,"中國國民黨"
"165","臺東縣","延平鄉",34.586,73.81,0.468581493022626,"中國國民黨"
"166","臺南市","東山區",24.2030434782609,42.01,0.576125767156888,"民主進步黨"
"167","連江縣","東引鄉",43.67,59.1,0.738917089678511,"中國國民黨"
"168","嘉義縣","東石鄉",24.4977777777778,54.97,0.445657227174418,"民主進步黨"
"169","臺東縣","東河鄉",27.1536363636364,59.09,0.45953014661764,"中國國民黨"
"170","新竹市","東區",42.1823741007194,48.56,0.868665035023052,"民主進步黨"
"171","嘉義市","東區",38.1334567901235,43.64,0.87381889986534,"中國國民黨"
"172","臺中市","東區",42.4569387755102,53.03,0.800621134744677,"中國國民黨"
"173","臺南市","東區",38.4310752688172,32.27,1.19092269193732,"民主進步黨"
"174","屏東縣","東港鎮",34.6636842105263,50.58,0.685323926661256,"民主進步黨"
"175","臺中市","東勢區",42.2146153846154,62.23,0.678364380276641,"中國國民黨"
"176","雲林縣","東勢鄉",32.186,57.56,0.559173036831133,"中國國民黨"
"177","臺北市","松山區",43.1063247863248,39.6,1.08854355521022,"無"
"178","新北市","板橋區",40.0881360946746,53.97,0.742785549280611,"中國國民黨"
"179","屏東縣","枋山鄉",33.7033333333333,62.52,0.539080827468543,"民主進步黨"
"180","屏東縣","枋寮鄉",33.9686363636364,47.53,0.714677811143201,"民主進步黨"
"181","新北市","林口區",41.8567741935484,59.08,0.708476205036364,"中國國民黨"
"182","雲林縣","林內鄉",37.5253333333333,49.63,0.756101820135671,"中國國民黨"
"183","高雄市","林園區",38.18,47.4,0.805485232067511,"中國國民黨"
"184","屏東縣","林邊鄉",35.79875,59.45,0.602165685449958,"民主進步黨"
"185","彰化縣","社頭鄉",41.3563157894737,48.04,0.860872518515272,"中國國民黨"
"186","彰化縣","芬園鄉",39.1795238095238,47.37,0.827095710566262,"中國國民黨"
"187","花蓮縣","花蓮市",40.7634567901235,65.99,0.617721727384808,"中國國民黨"
"188","彰化縣","花壇鄉",42.0235135135135,55.34,0.759369597280692,"中國國民黨"
"189","彰化縣","芳苑鄉",32.6308333333333,47.78,0.682939165620204,"中國國民黨"
"190","雲林縣","虎尾鎮",37.5695652173913,55.93,0.671724749104082,"中國國民黨"
"191","新北市","金山區",34.2221052631579,53.89,0.635036282485765,"中國國民黨"
"192","金門縣","金沙鎮",27.5476923076923,38.56,0.714411107564635,"中國國民黨"
"193","金門縣","金城鎮",27.397619047619,54.28,0.504746113625996,"中國國民黨"
"194","臺東縣","金峰鄉",34.256,72.3,0.473803596127248,"中國國民黨"
"195","金門縣","金湖鎮",27.6611764705882,39.07,0.707990183531821,"中國國民黨"
"196","金門縣","金寧鄉",27.8105882352941,54.92,0.506383616811619,"中國國民黨"
"197","屏東縣","長治鄉",36.2595454545455,57.75,0.627870916961826,"民主進步黨"
"198","臺東縣","長濱鄉",23.88,60.49,0.394775996032402,"中國國民黨"
