"","countryname","townname","ref7","ref8","ref9","ref10","ref11","ref12","ref13","ref14","ref15","ref16","vot","rate","party","V16","V17"
"1","臺南市","七股區",0.794612343971025,0.75234972347969,0.755637496947562,0.787580121062943,0.726637793476236,0.661426220118548,0.603276038881731,0.298752701054745,0.3166742909459,0.593441355544854,43.39,0.505232703108591,"民主進步黨",0.794612343971025,"ref7"
"2","澎湖縣","七美鄉",0.795050067128551,0.762964062284945,0.756616155894882,0.742709974328896,0.678956749373896,0.562657107746981,0.476298589711948,0.335836136437035,0.351331199362623,0.623670549997128,51.36,0.506061881281589,"中國國民黨",0.795050067128551,"ref7"
"3","基隆市","七堵區",0.785943382313264,0.763103507668784,0.76338783419156,0.72952036996766,0.673682786456566,0.61159735992023,0.457108572114952,0.333613664026727,0.344956537291598,0.587808602540116,57.5,0.488811104969244,"民主進步黨",0.785943382313264,"ref7"
"4","屏東縣","九如鄉",0.784817829039406,0.737962332257568,0.750973827078216,0.762669178434839,0.690555178922319,0.615215944671879,0.573011384776403,0.309532688733215,0.318547865366067,0.567559276916592,67.75,0.486678971470744,"民主進步黨",0.784817829039406,"ref7"
"5","彰化縣","二水鄉",0.77748697789677,0.749413338650605,0.753242533389032,0.778833991853069,0.719623872725504,0.64854991382602,0.481870733922772,0.298393132061476,0.290376643457403,0.580484450275497,49.11,0.475343799683783,"民主進步黨",0.778833991853069,"ref10"
"6","彰化縣","二林鎮",0.807885637499865,0.767453445820673,0.772810034689492,0.776246942027679,0.711887491741116,0.61541953217814,0.431446634346491,0.266887136008631,0.303824201658572,0.590622889556052,54.42,0.530376278651004,"中國國民黨",0.807885637499865,"ref7"
"7","雲林縣","二崙鄉",0.765717545764899,0.738349907365945,0.739654061499697,0.768116670048904,0.684246837394055,0.587050816432889,0.555002821275281,0.298615124931096,0.325220827119911,0.589441439583071,48.78,0.455041996682902,"民主進步黨",0.768116670048904,"ref10"
"8","新北市","八里區",0.783895675335821,0.751713789320519,0.774542273091018,0.720523476955448,0.667212973631733,0.580111701742128,0.45536180123625,0.342502469299399,0.347052822892908,0.586159220217639,54,0.484932137404473,"中國國民黨",0.783895675335821,"ref7"
"9","桃園市","八德區",0.795398202119402,0.777715686253286,0.796134760151266,0.731602732632819,0.676051799702971,0.60029746171025,0.420450605461548,0.31777896735552,0.331285739431867,0.600399835451383,54.93,0.508116613281429,"民主進步黨",0.796134760151266,"ref9"
"10","高雄市","三民區",0.77315407917119,0.74302641328129,0.760734444789681,0.719867202021022,0.681233547586408,0.628850204864411,0.503743787213961,0.342880685676414,0.348381128364289,0.58745894843158,52.79,0.464584351527164,"中國國民黨",0.77315407917119,"ref7"
"11","屏東縣","三地門鄉",0.789847725011253,0.767377245434004,0.726860676222484,0.789062728745999,0.723857364416182,0.668407487929337,0.377241623262087,0.265463253536865,0.280898964992941,0.589157206076234,56.14,0.496207094167935,"中國國民黨",0.789847725011253,"ref7"
"12","新北市","三芝區",0.779971962457843,0.752651467433413,0.753636229527063,0.736750216363712,0.654716761610791,0.587138097509373,0.471548105135704,0.332275579039685,0.350454786887002,0.577849162106376,59.4,0.47749945530942,"中國國民黨",0.779971962457843,"ref7"
