Name,,Total Pts,Avg Pts Per Game,Games Played,Wins(+2),Losses,First Bloods(+2),Dragon Kills(+1),Baron Kills(+2),Towers Destroyed(+1),<30 Min Win(+2)
Cloud9,,494,13.72,45,28,17,18,85,39,346,11
C9 vs. CLG,Loss (1-2),26,13,3,1,2,1,6,4,17,0
C9 vs. TSM,Loss (0-2),18,9,2,0,2,0,3,2,11,0
C9 vs. P1,Win (2-0),36,18,2,2,0,2,3,2,19,1
C9 vs. FOX,Win (2-0),35,17.5,2,2,0,0,5,4,16,1
C9 vs. IMT,Loss (1-2),20,10,3,1,2,1,6,3,16,0
C9 vs. FLY,Win (2-0),34,17,2,2,0,0,5,1,21,1
C9 vs. TL,Win (2-0),38,19,2,2,0,1,5,3,21,0
C9 vs. DIG,Win (2-1),20,10,3,2,1,1,5,2,23,1
C9 vs. TSM,Win (2-1),23,11.5,3,2,1,2,4,2,24,1
C9 vs. CLG,Loss (1-2),23,11.5,3,1,2,0,5,2,18,0
C9 vs. NV,Loss (0-2),15,7.5,2,0,2,1,2,0,11,0
C9 vs. IMT,Loss (1-2),23,11.5,3,1,2,1,7,1,18,0
C9 vs. P1,Win (2-1),30,15,3,2,1,2,7,2,27,1
C9 vs. DIG,Win (2-1),20,10,3,2,1,1,8,3,19,0
C9 vs. TL,Win (2-1),31,15.5,3,2,1,1,6,3,29,1
C9 vs. FLY,Win (2-0),35,17.5,2,2,0,1,3,2,20,1
C9 vs. NV,Win (2-0),32,16,2,2,0,2,3,1,17,1
C9 vs. FOX,Win (2-0),35,17.5,2,2,0,1,2,2,19,2
Counter Logic Gaming,,451,12.53,46,27,19,26,83,36,327,8
CLG vs. C9,Win (2-1),21,10.5,3,2,1,2,7,4,22,0
CLG vs. TL,Win (2-0),35,17.5,2,2,0,1,7,1,18,1
CLG vs. FOX,Win (2-1),29,14.5,3,2,1,2,8,4,25,0
CLG vs. TSM,Loss (1-2),25,12.5,3,1,2,3,5,2,18,0
CLG vs. FLY,Win (2-1),37,18.5,3,2,1,1,8,4,30,0
CLG vs. P1,Win (2-1),22,11,3,2,1,0,7,2,24,0
CLG vs. IMT,Loss (0-2),5,2.5,2,0,2,1,0,0,3,0
CLG vs. NV,Win (2-1),21,10.5,3,2,1,1,5,3,24,0
CLG vs. C9,Win (2-1),24,12,3,2,1,3,6,2,22,0
CLG vs. TL,Win (2-0),34,17,2,2,0,1,2,2,20,1
CLG vs. FLY,Win (2-0),33,16.5,2,2,0,1,6,2,17,0
CLG vs. DIG,Loss (0-2),8,4,2,0,2,1,0,0,6,0
CLG vs. FOX,Win (2-0),42,21,2,2,0,2,6,2,20,2
CLG vs. IMT,Loss (1-2),22,11,3,1,2,2,5,1,16,0
CLG vs. NV,Win (2-0),39,19.5,2,2,0,1,5,2,22,1
CLG vs. P1,Loss (1-2),20,10,3,1,2,2,0,1,12,1
CLG vs. DIG,Win (2-1),21,10.5,3,2,1,2,5,2,20,2
CLG vs. TSM,Loss (0-2),13,6.5,2,0,2,0,1,2,8,0
Echo Fox,,401,11.14,43,16,27,25,67,29,238,2
FOX vs. FLY,Win (2-0),32,16,2,2,0,1,3,2,19,0
FOX vs. TL,Win (2-0),48,24,2,2,0,2,8,4,22,1
FOX vs. CLG,Loss (1-2),24,12,3,1,2,1,3,2,19,0
FOX vs. C9,Loss (0-2),26,13,2,0,2,2,4,2,14,0
FOX vs. NV,Win (2-0),41,20.5,2,2,0,2,6,4,19,0
FOX vs. DIG,Loss (1-2),41,20.5,3,1,2,2,7,4,23,0
FOX vs. P1,Loss (0-2),16,8,2,0,2,1,2,1,10,0
FOX vs. TSM,Loss (0-2),11,5.5,2,0,2,2,1,0,6,0
FOX vs. TL,Win (2-1),19,9.5,3,2,1,1,2,3,23,0
FOX vs. FLY,Loss (1-2),30,15,3,1,2,3,8,1,19,0
FOX vs. IMT,Loss (0-2),7,3.5,2,0,2,1,1,0,4,0
FOX vs. NV,Loss (1-2),20,10,3,1,2,0,4,2,14,0
FOX vs. CLG,Loss (0-2),4,2,2,0,2,0,0,0,4,0
FOX vs. TSM,Loss (1-2),25,12.5,3,1,2,3,6,1,14,1
FOX vs. P1,Win (2-0),23,11.5,2,2,0,0,5,1,12,0
FOX vs. DIG,Loss (1-2),25,12.5,3,1,2,2,4,2,14,0
FOX vs. IMT,Loss (0-2),3,1.5,2,0,2,1,0,0,1,0
FOX vs. C9,Loss (0-2),6,3,2,0,2,1,3,0,1,0
FlyQuest,,352,9.78,44,17,27,17,67,31,234,2
FLY vs. FOX,Loss (0-2),20,10,2,0,2,1,4,1,12,0
FLY vs. DIG,Loss (0-2),10,5,2,0,2,0,2,0,8,0
FLY vs. IMT,Loss (1-2),34,17,3,1,2,2,5,3,25,0
FLY vs. P1,Win (2-0),32,16,2,2,0,0,4,3,16,1
FLY vs. CLG,Loss (1-2),18,9,3,1,2,2,4,3,14,0
FLY vs. C9,Loss (0-2),12,6,2,0,2,2,2,1,4,0
FLY vs. TSM,Loss (0-2),6,3,2,0,2,1,1,0,3,0
FLY vs. NV,Loss (1-2),20,10,3,1,2,1,5,1,12,0
FLY vs. DIG,Win (2-1),20,10,3,2,1,2,6,3,19,0
FLY vs. FOX,Win (2-1),22,11,3,2,1,0,2,4,22,0
FLY vs. CLG,Loss (0-2),16,8,2,0,2,1,3,2,7,0
FLY vs. TL,Win (2-0),33,16.5,2,2,0,0,6,2,19,0
FLY vs. IMT,Loss (1-2),12,6,3,1,2,0,2,0,13,0
FLY vs. NV,Loss (1-2),21,10.5,3,1,2,0,5,3,12,0
FLY vs. TSM,Loss (0-2),10,5,2,0,2,2,1,0,5,0
FLY vs. C9,Loss (0-2),7,3.5,2,0,2,1,2,0,3,0
FLY vs. TL,Win (2-1),26,13,3,2,1,1,8,3,24,0
FLY vs. P1,Win (2-0),33,16.5,2,2,0,1,5,2,16,1
Fnatic,,642,29.18,25,21,4,18,61,28,230,4
FNC vs. MSF,Win (2-0),41,20.5,2,2,0,2,5,2,22,1
FNC vs. NIP,Win (2-0),35,17.5,2,2,0,1,3,3,20,0
FNC vs. G2,Win (2-1),66,33,3,2,1,3,9,3,26,0
FNC vs. ROC,Loss (1-2),74,37,3,1,2,3,6,3,21,0
FNC vs. H2K,Win (2-0),32,16,2,2,0,1,3,2,19,0
FNC vs. MM,Win (2-0),36,18,2,2,0,1,7,2,19,0
FNC vs. SPY,Win (2-0),78,39,2,2,0,2,7,3,18,0
FNC vs. VIT,Win (2-0),80,40,2,2,0,1,6,4,20,0
FNC vs. UOL,Win (2-1),70,35,3,2,1,2,6,3,29,2
FNC vs. MSF,Win (2-0),62,31,2,2,0,1,5,0,18,1
FNC vs. ROC,Win (2-0),68,34,2,2,0,1,4,3,18,0
G2 Esports,,532,24.18,28,19,9,11,60,25,197,5
G2 vs. ROC,Win (2-1),48,24,3,2,1,2,8,2,22,0
G2 vs. FNC,Loss (1-2),21,10.5,3,1,2,0,3,2,14,0
G2 vs. NIP,Win (2-0),33,16.5,2,2,0,0,5,2,20,0
G2 vs. MSF,Loss (1-2),44,22,3,1,2,1,5,1,12,1
G2 vs. UOL,Loss (1-2),42,21,3,1,2,1,5,1,12,1
G2 vs. MM,Win (2-0),72,36,2,2,0,1,6,3,18,0
G2 vs. SPY,Win (2-0),76,38,2,2,0,2,5,3,17,1
G2 vs. H2K,Win (2-1),17,8.5,3,2,1,1,6,2,19,0
G2 vs. VIT,Win (2-1),23,11.5,3,2,1,0,7,4,23,0
G2 vs. NIP,Win (2-0),78,39,2,2,0,2,6,2,19,1
G2 vs. MSF,Win (2-0),78,39,2,2,0,1,4,3,21,1
H2K,,565,25.68,24,18,6,15,42,21,183,7
H2K vs. SPY,Win (2-0),40,20,2,2,0,1,5,3,21,1
H2K vs. MM,Win (2-0),38,19,2,2,0,1,6,2,20,1
H2K vs. UOL,Loss (1-2),44,22,3,1,2,3,3,2,13,0
H2K vs. VIT,Win (2-0),68,34,2,2,0,1,5,2,17,1
H2K vs. FNC,Loss (0-2),4,2,2,0,2,1,0,0,2,0
H2K vs. NIP,Win (2-0),33,16.5,2,2,0,0,4,3,19,0
H2K vs. MSF,Win (2-0),66,33,2,2,0,1,4,3,17,0
H2K vs. ROC,Win (2-0),68,34,2,2,0,2,3,1,17,2
H2K vs. G2,Loss (1-2),56,28,3,1,2,2,5,1,16,0
H2K vs. SPY,Win (2-0),76,38,2,2,0,2,4,2,20,1
H2K vs. VIT,Win (2-0),72,36,2,2,0,1,3,2,21,1
Immortals,,509,14.14,45,30,15,27,92,39,332,10
IMT vs. P1,Win (2-1),25,12.5,3,2,1,2,7,1,24,0
IMT vs. TSM,Win (2-0),30,15,2,2,0,2,4,1,16,0
IMT vs. NV,Loss (0-2),9,4.5,2,0,2,1,2,0,5,0
IMT vs. FLY,Win (2-1),25,12.5,3,2,1,1,6,2,24,0
IMT vs. TL,Win (2-0),35,17.5,2,2,0,1,4,2,19,1
IMT vs. C9,Win (2-1),25,12.5,3,2,1,2,6,3,22,0
IMT vs. CLG,Win (2-0),35,17.5,2,2,0,1,6,2,17,1
IMT vs. DIG,Win (2-1),27,13.5,3,2,1,3,7,2,22,2
IMT vs. TSM,Loss (0-2),16,8,2,0,2,1,2,2,8,0
IMT vs. P1,Loss (1-2),23,11.5,3,1,2,2,5,1,12,0
IMT vs. FOX,Win (2-0),41,20.5,2,2,0,1,7,3,22,0
IMT vs. C9,Win (2-1),26,13,3,2,1,2,8,4,20,0
IMT vs. FLY,Win (2-1),34,17,3,2,1,3,7,4,25,2
IMT vs. CLG,Win (2-1),22,11,3,2,1,1,5,4,22,0
IMT vs. TL,Win (2-0),33,16.5,2,2,0,0,3,2,20,1
IMT vs. DIG,Loss (1-2),28,14,3,1,2,2,5,1,15,0
IMT vs. NV,Win (2-0),35,17.5,2,2,0,1,3,2,18,2
IMT vs. FOX,Win (2-0),40,20,2,2,0,1,5,3,21,1
Misfits,,384,16,30,14,16,17,55,23,180,6
MSF vs. FNC,Loss (0-2),14,7,2,0,2,0,2,0,5,0
MSF vs. NIP,Win (2-0),35,17.5,2,2,0,0,4,3,19,1
MSF vs. ROC,Win (2-1),22,11,3,2,1,2,4,2,18,2
MSF vs. G2,Win (2-1),36,18,3,2,1,2,4,3,19,0
MSF vs. VIT,Win (2-1),78,39,3,2,1,3,10,5,28,0
MSF vs. H2K,Loss (0-2),38,19,2,0,2,1,3,1,12,0
MSF vs. UOL,Loss (1-2),54,27,3,1,2,2,5,3,16,1
MSF vs. MM,Win (2-0),31,15.5,2,2,0,1,4,2,17,0
MSF vs. SPY,Loss (1-2),27,13.5,3,1,2,2,6,2,15,1
MSF vs. FNC,Loss (0-2),12,6,2,0,2,1,1,0,3,0
MSF vs. G2,Loss (0-2),7,3.5,2,0,2,1,3,0,2,0
MSF vs. NIP,Win (2-1),30,15,3,2,1,2,9,2,26,1
Mysterious Monkeys,,261,10.88,26,5,21,15,31,12,109,1
MM vs. H2K,Loss (0-2),10,5,2,0,2,1,1,0,2,0
MM vs. UOL,Loss (0-2),11,5.5,2,0,2,1,2,1,5,0
MM vs. SPY,Loss (0-2),5,2.5,2,0,2,1,1,0,2,0
MM vs. VIT,Loss (0-2),20,10,2,0,2,2,3,0,3,0
MM vs. FNC,Loss (0-2),36,18,2,0,2,1,3,2,9,0
MM vs. NIP,Win (2-0),39,19.5,2,2,0,1,6,4,19,0
MM vs. G2,Loss (0-2),13,6.5,2,0,2,1,3,0,8,0
MM vs. ROC,Win (2-1),64,32,3,2,1,1,8,3,26,1
MM vs. MSF,Loss (0-2),14,7,2,0,2,1,0,0,5,0
MM vs. VIT,Loss (0-2),13,6.5,2,0,2,2,2,0,7,0
MM vs. UOL,Loss (1-2),24,12,3,1,2,3,1,2,18,0
MM vs. SPY,Loss (0-2),12,6,2,0,2,0,1,0,5,0
Ninjas in Pyjamas,,292,12.17,27,5,22,19,28,11,118,0
NIP vs. FNC,Loss (0-2),32,16,2,0,2,1,4,1,8,0
NIP vs. MSF,Loss (0-2),23,11.5,2,0,2,2,2,2,13,0
NIP vs. G2,Loss (0-2),18,9,2,0,2,2,3,1,9,0
NIP vs. ROC,Loss (0-2),24,12,2,0,2,2,2,0,6,0
NIP vs. H2K,Loss (0-2),26,13,2,0,2,2,3,0,6,0
NIP vs. MM,Loss (0-2),18,9,2,0,2,1,1,0,15,0
NIP vs. UOL,Loss (1-2),24,12,3,1,2,3,7,1,16,0
NIP vs. VIT,Loss (1-2),42,21,3,1,2,1,6,1,11,0
NIP vs. SPY,Loss (0-2),14,7,2,0,2,2,0,0,3,0
NIP vs. G2,Loss (0-2),4,2,2,0,2,0,0,1,2,0
NIP vs. ROC,Win (2-0),29,14.5,2,2,0,2,0,2,17,0
NIP vs. MSF,Loss (1-2),38,19,3,1,2,1,0,2,12,0
Phoenix1,,350,9.72,46,15,31,23,59,30,225,4
P1 vs. IMT,Loss (1-2),24,12,3,1,2,1,6,2,12,0
P1 vs. NV,Loss (1-2),22,11,3,1,2,2,3,1,14,0
P1 vs. C9,Loss (0-2),10,5,2,0,2,0,3,1,5,0
P1 vs. FLY,Loss (0-2),11,5.5,2,0,2,2,2,0,5,0
P1 vs. DIG,Loss (1-2),24,12,3,1,2,1,3,2,15,1
P1 vs. CLG,Loss (1-2),29,14.5,3,1,2,3,5,2,17,0
P1 vs. FOX,Win (2-0),35,17.5,2,2,0,1,6,2,19,0
P1 vs. TL,Loss (1-2),27,13.5,3,1,2,2,2,3,13,0
P1 vs. NV,Win (2-1),31,15.5,3,2,1,1,8,6,27,0
P1 vs. IMT,Win (2-1),18,9,3,2,1,1,4,2,22,0
P1 vs. TSM,Loss (0-2),18,9,2,0,2,1,2,2,10,0
P1 vs. DIG,Loss (1-2),19,9.5,3,1,2,2,2,1,8,1
P1 vs. C9,Loss (1-2),15,7.5,3,1,2,1,2,2,12,0
P1 vs. TL,Loss (0-2),4,2,2,0,2,0,0,0,4,0
P1 vs. FOX,Loss (0-2),26,13,2,0,2,2,3,2,15,0
P1 vs. CLG,Win (2-1),22,11,3,2,1,1,6,2,18,2
P1 vs. TSM,Loss (0-2),9,4.5,2,0,2,1,1,0,6,0
P1 vs. FLY,Loss (0-2),6,3,2,0,2,1,1,0,3,0
ROCCAT,,369,16.77,28,10,18,9,34,20,164,1
ROC vs. G2,Loss (1-2),52,26,3,1,2,1,3,3,18,0
ROC vs. MSF,Loss (1-2),42,21,3,1,2,1,3,1,15,0
ROC vs. FNC,Win (2-1),17,8.5,3,2,1,0,3,4,20,0
ROC vs. NIP,Win (2-0),36,18,2,2,0,0,4,2,22,1
ROC vs. SPY,Loss (1-2),44,22,3,1,2,1,4,1,13,0
ROC vs. VIT,Loss (0-2),22,11,2,0,2,1,2,0,7,0
ROC vs. H2K,Loss (0-2),4,2,2,0,2,0,1,0,3,0
ROC vs. MM,Loss (1-2),26,13,3,1,2,2,3,2,20,0
ROC vs. UOL,Win (2-1),40,20,3,2,1,2,3,3,21,0
ROC vs. NIP,Loss (0-2),38,19,2,0,2,0,5,1,12,0
ROC vs. FNC,Loss (0-2),48,24,2,0,2,1,3,3,13,0
Splyce,,290,12.08,27,14,13,9,29,14,156,5
SPY vs. H2K,Loss (0-2),14,7,2,0,2,1,1,0,4,0
